point_id,district,stratum,lon,lat,class_t0,class_t3,confidence,notes
BAN-0003,bandarban,stable_non_forest,92.154093,21.408778,natural_forest,natural_forest,high,""
BAN-0007,bandarban,stable_non_forest,92.3263,21.801701,natural_forest,natural_forest,high,"cyclical"
BAN-0018,bandarban,stable_non_forest,92.199368,22.325868,natural_forest,natural_forest,high,"cyclical"
BAN-0020,bandarban,stable_non_forest,92.153015,21.889826,natural_forest,non_forest,high,"cyclical"
BAN-0030,bandarban,stable_non_forest,92.222275,21.730285,natural_forest,natural_forest,high,""
BAN-0032,bandarban,stable_non_forest,92.211764,21.895485,natural_forest,natural_forest,high,""
BAN-0034,bandarban,stable_non_forest,92.385588,21.604701,natural_forest,non_forest,high,""
BAN-0037,bandarban,stable_non_forest,92.509017,21.695251,water,water,high,""
BAN-0038,bandarban,stable_non_forest,92.16622,21.401232,natural_forest,non_forest,high,""
BAN-0041,bandarban,stable_non_forest,92.218771,22.237743,natural_forest,natural_forest,high,""
BAN-0046,bandarban,stable_non_forest,92.248146,21.406083,water,water,high,""
BAN-0048,bandarban,stable_non_forest,92.189396,21.862876,water,water,low,""
BAN-0052,bandarban,stable_non_forest,92.143043,21.366737,non_forest,non_forest,high,"cyclical"
BAN-0054,bandarban,stable_non_forest,92.279947,22.045055,natural_forest,natural_forest,high,""
BAN-0055,bandarban,stable_non_forest,92.148703,21.644586,natural_forest,natural_forest,high,""
BAN-0056,bandarban,stable_non_forest,92.173227,22.052601,natural_forest,natural_forest,high,""
BAN-0058,bandarban,stable_non_forest,92.190205,21.53571,natural_forest,natural_forest,high,"cyclical"
BAN-0059,bandarban,stable_non_forest,92.358369,21.712498,natural_forest,natural_forest,high,""
BAN-0072,bandarban,stable_non_forest,92.329803,22.01568,natural_forest,natural_forest,high,""
BAN-0073,bandarban,stable_non_forest,92.191822,21.219862,natural_forest,natural_forest,high,""
BAN-0084,bandarban,stable_non_forest,92.557256,21.568858,natural_forest,natural_forest,high,""
BAN-0085,bandarban,stable_non_forest,92.578547,21.88228,natural_forest,natural_forest,high,""
BAN-0086,bandarban,stable_non_forest,92.251111,21.763702,natural_forest,non_forest,high,""
BAN-0090,bandarban,stable_non_forest,92.222005,21.762085,water,water,high,""
BAN-0113,bandarban,stable_non_forest,92.203141,21.730016,natural_forest,natural_forest,high,""
BAN-0117,bandarban,stable_non_forest,92.277252,21.460521,natural_forest,non_forest,high,"cyclical"
BAN-0118,bandarban,stable_non_forest,92.184545,22.228311,non_forest,natural_forest,high,""
BAN-0128,bandarban,stable_forest,92.36861,21.514959,natural_forest,natural_forest,high,""
BAN-0132,bandarban,stable_forest,92.237366,21.926477,natural_forest,natural_forest,high,"cyclical"
BAN-0143,bandarban,stable_forest,92.248685,21.568319,natural_forest,natural_forest,high,""
BAN-0145,bandarban,stable_forest,92.476139,21.979837,natural_forest,non_forest,high,""
BAN-0155,bandarban,stable_forest,92.297194,21.424948,natural_forest,non_forest,high,"cyclical"
BAN-0157,bandarban,stable_forest,92.371575,22.327755,natural_forest,natural_forest,high,""
BAN-0159,bandarban,stable_forest,92.108009,21.918392,non_forest,natural_forest,high,"cyclical"
BAN-0162,bandarban,stable_forest,92.283719,22.320748,natural_forest,natural_forest,high,""
BAN-0163,bandarban,stable_forest,92.473713,22.112428,natural_forest,natural_forest,high,""
BAN-0166,bandarban,stable_forest,92.402297,21.930789,natural_forest,natural_forest,high,""
BAN-0171,bandarban,stable_forest,92.37939,22.286522,natural_forest,natural_forest,high,"cyclical"
BAN-0173,bandarban,stable_forest,92.50228,22.023226,natural_forest,natural_forest,high,""
BAN-0177,bandarban,stable_forest,92.280755,22.354434,natural_forest,natural_forest,high,""
BAN-0179,bandarban,stable_forest,92.497429,21.776099,natural_forest,natural_forest,high,"cyclical"
BAN-0180,bandarban,stable_forest,92.65131,21.281307,natural_forest,natural_forest,high,""
BAN-0181,bandarban,stable_forest,92.509556,21.606857,natural_forest,non_forest,high,"cyclical"
BAN-0183,bandarban,stable_forest,92.56049,21.715463,natural_forest,natural_forest,high,""
BAN-0184,bandarban,stable_forest,92.258387,21.819218,natural_forest,natural_forest,high,"cyclical"
BAN-0197,bandarban,stable_forest,92.47533,21.812481,natural_forest,natural_forest,high,"cyclical"
BAN-0198,bandarban,stable_forest,92.249224,21.471031,natural_forest,natural_forest,high,""
BAN-0209,bandarban,stable_forest,92.413616,22.229658,natural_forest,natural_forest,high,""
BAN-0210,bandarban,stable_forest,92.173227,21.414437,natural_forest,non_forest,high,""
BAN-0211,bandarban,stable_forest,92.495003,22.070118,natural_forest,natural_forest,high,""
BAN-0215,bandarban,stable_forest,92.602262,21.623026,natural_forest,natural_forest,high,""
BAN-0238,bandarban,stable_forest,92.252189,21.683932,natural_forest,natural_forest,high,""
BAN-0242,bandarban,stable_forest,92.3899,21.476152,natural_forest,natural_forest,high,""
BAN-0243,bandarban,stable_forest,92.407417,22.243403,natural_forest,natural_forest,high,"cyclical"
BAN-0263,bandarban,forest_loss,92.227934,21.860451,natural_forest,natural_forest,high,"cyclical"
BAN-0268,bandarban,forest_loss,92.556717,21.694981,natural_forest,natural_forest,high,"cyclical"
BAN-0269,bandarban,forest_loss,92.382624,21.890904,natural_forest,natural_forest,high,""
BAN-0270,bandarban,forest_loss,92.567228,21.559156,natural_forest,natural_forest,high,"cyclical; permanent"
BAN-0280,bandarban,forest_loss,92.316059,22.319939,natural_forest,natural_forest,high,""
BAN-0282,bandarban,forest_loss,92.306357,21.454053,natural_forest,natural_forest,high,""
BAN-0287,bandarban,forest_loss,92.525995,21.921896,natural_forest,natural_forest,high,""
