point_id,district,stratum,lon,lat,class_t0,class_t3,confidence,notes
GAZ-0013,gazipur,stable_non_forest,90.423668,24.166247,non_forest,non_forest,high,""
GAZ-0018,gazipur,stable_non_forest,90.49697,23.900525,non_forest,non_forest,high,""
GAZ-0019,gazipur,stable_non_forest,90.494545,24.258683,non_forest,non_forest,high,"homestead vegetation"
GAZ-0020,gazipur,stable_non_forest,90.553834,24.060335,natural_forest,natural_forest,high,""
GAZ-0030,gazipur,stable_non_forest,90.301856,24.215025,natural_forest,natural_forest,high,""
GAZ-0032,gazipur,stable_non_forest,90.47568,23.968168,non_forest,non_forest,high,""
GAZ-0037,gazipur,stable_non_forest,90.318026,24.111,non_forest,non_forest,high,""
GAZ-0041,gazipur,stable_non_forest,90.229901,24.076235,non_forest,non_forest,high,""
GAZ-0042,gazipur,stable_non_forest,90.59857,24.204245,non_forest,non_forest,high,""
GAZ-0049,gazipur,stable_non_forest,90.436334,24.33522,non_forest,non_forest,high,""
GAZ-0050,gazipur,stable_non_forest,90.545479,23.98326,non_forest,non_forest,high,""
GAZ-0053,gazipur,stable_non_forest,90.54521,24.150885,non_forest,non_forest,high,""
GAZ-0054,gazipur,stable_non_forest,90.190555,24.039315,non_forest,non_forest,high,""
GAZ-0055,gazipur,stable_non_forest,90.672411,24.160048,non_forest,non_forest,high,""
GAZ-0067,gazipur,stable_non_forest,90.430944,24.029343,non_forest,non_forest,high,"homestead vegetation"
GAZ-0071,gazipur,stable_non_forest,90.659745,24.230386,non_forest,non_forest,high,""
GAZ-0073,gazipur,stable_non_forest,90.353599,24.053867,non_forest,non_forest,high,""
GAZ-0079,gazipur,stable_non_forest,90.531735,23.914,non_forest,non_forest,high,""
GAZ-0084,gazipur,stable_non_forest,90.606385,24.12178,non_forest,non_forest,high,""
GAZ-0086,gazipur,stable_non_forest,90.424476,24.226074,non_forest,non_forest,high,"homestead vegetation"
GAZ-0087,gazipur,stable_non_forest,90.511523,24.070037,natural_forest,natural_forest,high,""
GAZ-0094,gazipur,stable_non_forest,90.428519,23.943375,non_forest,non_forest,high,""
GAZ-0098,gazipur,stable_non_forest,90.422859,24.134985,natural_forest,natural_forest,high,""
GAZ-0099,gazipur,stable_non_forest,90.162528,24.062491,natural_forest,natural_forest,high,""
GAZ-0105,gazipur,stable_non_forest,90.319373,24.182686,natural_forest,natural_forest,high,""
GAZ-0112,gazipur,stable_non_forest,90.617434,24.156545,natural_forest,natural_forest,high,""
GAZ-0115,gazipur,stable_non_forest,90.314253,24.001316,non_forest,non_forest,high,""
GAZ-0133,gazipur,stable_non_forest,90.602343,23.978139,non_forest,non_forest,high,""
GAZ-0139,gazipur,stable_non_forest,90.489694,24.126631,non_forest,non_forest,high,""
