point_id,district,stratum,lon,lat,class_t0,class_t3,confidence,notes
SYL-0003,sylhet,stable_non_forest,92.110165,25.091691,non_forest,natural_forest,high,""
SYL-0007,sylhet,stable_non_forest,91.861691,25.105166,natural_forest,natural_forest,high,""
SYL-0013,sylhet,stable_non_forest,92.300967,25.063933,non_forest,plantation,high,""
SYL-0018,sylhet,stable_non_forest,92.1929,24.821657,non_forest,non_forest,high,""
SYL-0019,sylhet,stable_non_forest,91.884867,25.040757,non_forest,natural_forest,high,""
SYL-0020,sylhet,stable_non_forest,91.689214,24.833785,natural_forest,natural_forest,high,""
SYL-0022,sylhet,stable_non_forest,92.140887,24.868549,natural_forest,non_forest,high,""
SYL-0030,sylhet,stable_non_forest,91.852798,24.976078,non_forest,natural_forest,high,""
SYL-0032,sylhet,stable_non_forest,92.009643,25.155292,non_forest,water,high,""
SYL-0034,sylhet,stable_non_forest,91.980269,25.008687,non_forest,natural_forest,high,""
SYL-0037,sylhet,stable_non_forest,91.784346,24.751319,natural_forest,natural_forest,high,""
SYL-0038,sylhet,stable_non_forest,92.450267,24.955057,non_forest,natural_forest,high,""
SYL-0041,sylhet,stable_non_forest,92.053032,24.857231,water,natural_forest,high,""
SYL-0042,sylhet,stable_non_forest,91.734759,24.722214,non_forest,natural_forest,high,""
SYL-0046,sylhet,stable_non_forest,91.828004,25.077408,water,water,high,""
SYL-0048,sylhet,stable_non_forest,91.979999,24.906009,water,water,high,""
SYL-0049,sylhet,stable_non_forest,91.858457,24.734072,natural_forest,natural_forest,high,""
SYL-0050,sylhet,stable_non_forest,91.7609,24.841331,natural_forest,natural_forest,high,""
SYL-0052,sylhet,stable_non_forest,92.14493,25.088727,non_forest,natural_forest,high,""
SYL-0053,sylhet,stable_non_forest,92.052763,25.064472,non_forest,non_forest,high,""
SYL-0054,sylhet,stable_non_forest,91.792161,24.992517,non_forest,water,high,""
SYL-0055,sylhet,stable_non_forest,91.721015,24.975,non_forest,water,high,""
SYL-0056,sylhet,stable_non_forest,92.195056,24.871244,non_forest,non_forest,high,""
SYL-0058,sylhet,stable_non_forest,92.064351,24.887953,natural_forest,natural_forest,high,""
SYL-0060,sylhet,stable_non_forest,91.844174,24.717632,natural_forest,natural_forest,high,""
SYL-0061,sylhet,stable_non_forest,91.843635,25.024587,natural_forest,natural_forest,high,""
SYL-0067,sylhet,stable_non_forest,91.746078,25.114868,natural_forest,non_forest,high,""
SYL-0071,sylhet,stable_non_forest,91.845521,24.75078,non_forest,natural_forest,high,""
SYL-0073,sylhet,stable_non_forest,92.252189,25.016771,non_forest,natural_forest,high,""
SYL-0076,sylhet,stable_non_forest,92.140618,24.786084,non_forest,natural_forest,high,""
SYL-0079,sylhet,stable_non_forest,91.813182,25.147476,natural_forest,natural_forest,high,""
SYL-0081,sylhet,stable_non_forest,92.260543,25.010843,non_forest,natural_forest,high,"tea/forest boundary"
SYL-0083,sylhet,stable_non_forest,92.115285,25.087649,non_forest,non_forest,high,"tea/forest boundary"
SYL-0084,sylhet,stable_non_forest,92.045217,24.74566,natural_forest,natural_forest,high,"tea/forest boundary"
SYL-0085,sylhet,stable_non_forest,91.951702,25.14532,natural_forest,natural_forest,high,""
SYL-0086,sylhet,stable_non_forest,91.927717,24.95883,natural_forest,natural_forest,high,""
SYL-0087,sylhet,stable_non_forest,91.69703,24.992247,natural_forest,natural_forest,high,""
SYL-0088,sylhet,stable_non_forest,91.907236,24.979312,non_forest,natural_forest,high,""
SYL-0091,sylhet,stable_non_forest,91.753624,25.087379,water,natural_forest,high,""
SYL-0094,sylhet,stable_non_forest,91.928526,24.720866,natural_forest,natural_forest,high,""
SYL-0098,sylhet,stable_non_forest,92.182928,24.827586,natural_forest,natural_forest,high,""
SYL-0099,sylhet,stable_non_forest,92.002637,24.713051,natural_forest,natural_forest,high,""
SYL-0105,sylhet,stable_non_forest,91.737723,25.106513,natural_forest,natural_forest,high,""
SYL-0109,sylhet,stable_non_forest,92.174574,24.955866,non_forest,non_forest,high,""
SYL-0112,sylhet,stable_non_forest,92.323874,24.983085,non_forest,natural_forest,high,""
SYL-0115,sylhet,stable_non_forest,92.025274,24.878251,non_forest,natural_forest,high,""
SYL-0124,sylhet,stable_non_forest,92.092109,24.992517,water,natural_forest,high,""
SYL-0133,sylhet,stable_non_forest,91.911278,24.994403,non_forest,natural_forest,high,""
SYL-0134,sylhet,stable_non_forest,91.670619,24.63355,non_forest,natural_forest,high,"tea/forest boundary"
SYL-0139,sylhet,stable_non_forest,92.064081,24.786623,non_forest,natural_forest,high,""
SYL-0142,sylhet,stable_non_forest,91.782999,25.03887,non_forest,natural_forest,high,""
SYL-0143,sylhet,stable_non_forest,92.296116,24.980929,non_forest,natural_forest,high,""
SYL-0145,sylhet,stable_non_forest,92.078365,24.862082,natural_forest,natural_forest,high,""
SYL-0146,sylhet,stable_non_forest,92.21958,24.965837,water,water,high,""
SYL-0153,sylhet,stable_forest,91.768176,24.781233,natural_forest,non_forest,high,"tea/forest boundary"
SYL-0157,sylhet,stable_forest,91.962751,24.654301,non_forest,natural_forest,high,""
SYL-0163,sylhet,stable_forest,91.712121,24.722214,natural_forest,natural_forest,high,""
SYL-0168,sylhet,stable_forest,92.427899,24.887953,natural_forest,natural_forest,high,""
SYL-0169,sylhet,stable_forest,92.149511,25.093308,natural_forest,natural_forest,high,""
SYL-0170,sylhet,stable_forest,91.957362,24.978773,natural_forest,natural_forest,high,""
SYL-0172,sylhet,stable_forest,92.399333,25.029977,natural_forest,natural_forest,high,""
SYL-0180,sylhet,stable_forest,92.194247,25.059082,natural_forest,natural_forest,high,""
SYL-0182,sylhet,stable_forest,92.279408,24.917328,natural_forest,natural_forest,high,""
SYL-0184,sylhet,stable_forest,92.148164,24.908704,natural_forest,natural_forest,high,""
SYL-0187,sylhet,stable_forest,92.149781,24.804949,natural_forest,natural_forest,high,""
SYL-0188,sylhet,stable_forest,92.185893,25.081989,natural_forest,natural_forest,high,""
SYL-0191,sylhet,stable_forest,92.151667,24.812495,natural_forest,natural_forest,high,""
SYL-0192,sylhet,stable_forest,91.96329,24.655379,natural_forest,natural_forest,high,""
SYL-0196,sylhet,stable_forest,92.291535,25.024856,natural_forest,natural_forest,high,""
SYL-0198,sylhet,stable_forest,91.842287,25.061238,natural_forest,natural_forest,high,""
SYL-0199,sylhet,stable_forest,92.121214,24.850493,natural_forest,natural_forest,high,""
SYL-0200,sylhet,stable_forest,92.18751,25.093577,natural_forest,natural_forest,high,""
SYL-0202,sylhet,stable_forest,92.144121,25.121605,natural_forest,natural_forest,high,"tea/forest boundary"
SYL-0203,sylhet,stable_forest,92.163255,25.084954,natural_forest,natural_forest,high,""
SYL-0204,sylhet,stable_forest,91.830969,24.875826,natural_forest,natural_forest,high,""
SYL-0205,sylhet,stable_forest,91.889718,24.93215,natural_forest,natural_forest,high,""
SYL-0206,sylhet,stable_forest,92.157326,24.787162,natural_forest,natural_forest,high,""
SYL-0208,sylhet,stable_forest,92.138192,25.136697,non_forest,natural_forest,medium,""
SYL-0210,sylhet,stable_forest,92.371575,24.877982,natural_forest,natural_forest,high,""
SYL-0211,sylhet,stable_forest,91.790005,24.883102,natural_forest,natural_forest,high,""
SYL-0217,sylhet,stable_forest,91.86196,24.940235,natural_forest,natural_forest,high,""
SYL-0221,sylhet,stable_forest,92.13388,24.917867,natural_forest,natural_forest,high,""
SYL-0223,sylhet,stable_forest,91.905888,24.940235,natural_forest,natural_forest,high,""
SYL-0226,sylhet,stable_forest,92.161099,24.830012,natural_forest,natural_forest,high,""
SYL-0229,sylhet,stable_forest,91.824231,24.784737,natural_forest,natural_forest,high,""
SYL-0231,sylhet,stable_forest,92.148433,24.914094,natural_forest,natural_forest,high,""
SYL-0233,sylhet,stable_forest,92.395021,24.986049,non_forest,natural_forest,high,""
SYL-0234,sylhet,stable_forest,91.709696,24.678017,natural_forest,natural_forest,high,""
SYL-0235,sylhet,stable_forest,91.978652,24.949128,natural_forest,non_forest,high,""
SYL-0236,sylhet,stable_forest,91.991587,24.963412,natural_forest,natural_forest,high,""
SYL-0237,sylhet,stable_forest,91.94766,24.689066,natural_forest,natural_forest,high,""
SYL-0238,sylhet,stable_forest,92.165681,24.805757,natural_forest,natural_forest,high,""
SYL-0241,sylhet,stable_forest,92.188318,25.075252,natural_forest,natural_forest,high,""
SYL-0244,sylhet,stable_forest,92.474522,24.920023,natural_forest,natural_forest,high,""
SYL-0248,sylhet,stable_forest,92.227665,24.932959,natural_forest,natural_forest,high,""
SYL-0249,sylhet,stable_forest,91.771949,25.130498,natural_forest,natural_forest,high,""
SYL-0255,sylhet,stable_forest,92.309591,24.948589,natural_forest,natural_forest,high,""
SYL-0259,sylhet,stable_forest,92.330881,24.938349,natural_forest,natural_forest,high,""
SYL-0262,sylhet,stable_forest,92.112321,25.037523,natural_forest,natural_forest,high,""
SYL-0265,sylhet,stable_forest,92.406878,24.918675,natural_forest,natural_forest,high,""
SYL-0274,sylhet,stable_forest,91.730447,24.802523,natural_forest,natural_forest,high,""
SYL-0283,sylhet,stable_forest,92.210686,25.100584,natural_forest,natural_forest,high,""
SYL-0284,sylhet,stable_forest,92.114746,24.827047,natural_forest,natural_forest,high,""
SYL-0289,sylhet,stable_forest,91.709157,24.921101,water,water,high,""
SYL-0292,sylhet,stable_forest,91.999672,24.693917,natural_forest,natural_forest,high,"tea/forest boundary"
SYL-0293,sylhet,stable_forest,91.998594,25.173078,natural_forest,natural_forest,high,""
SYL-0295,sylhet,stable_forest,91.910469,25.029977,natural_forest,natural_forest,high,""
SYL-0296,sylhet,stable_forest,91.988353,24.957483,natural_forest,natural_forest,high,""
SYL-0301,sylhet,forest_loss,91.942,24.961525,natural_forest,natural_forest,high,""
SYL-0303,sylhet,forest_loss,91.943887,24.672896,non_forest,natural_forest,high,""
SYL-0306,sylhet,forest_loss,91.908583,24.93754,natural_forest,natural_forest,high,""
SYL-0313,sylhet,forest_loss,92.080251,25.169305,natural_forest,non_forest,high,""
SYL-0318,sylhet,forest_loss,92.285875,25.067436,natural_forest,non_forest,high,""
SYL-0319,sylhet,forest_loss,92.017459,25.179546,natural_forest,non_forest,high,""
SYL-0320,sylhet,forest_loss,92.365107,25.014885,natural_forest,natural_forest,high,""
SYL-0322,sylhet,forest_loss,92.16595,25.083337,natural_forest,natural_forest,high,""
SYL-0330,sylhet,forest_loss,91.839862,25.077677,natural_forest,water,high,""
SYL-0332,sylhet,forest_loss,91.930412,24.930533,natural_forest,non_forest,high,""
SYL-0334,sylhet,forest_loss,91.939036,24.673435,non_forest,natural_forest,high,""
SYL-0337,sylhet,forest_loss,91.987275,24.674783,non_forest,natural_forest,high,""
SYL-0341,sylhet,forest_loss,92.162177,24.807105,natural_forest,non_forest,high,""
SYL-0342,sylhet,forest_loss,92.313094,25.058813,non_forest,non_forest,high,""
SYL-0344,sylhet,forest_loss,91.96356,24.967993,natural_forest,natural_forest,high,""
SYL-0347,sylhet,forest_loss,91.914781,24.971496,natural_forest,non_forest,high,""
