point_id,district,stratum,lon,lat,class_t0,class_t3,confidence,notes
SYL-0001,sylhet,stable_non_forest,91.929334,24.895768,non_forest,plantation,high,""
SYL-0002,sylhet,stable_non_forest,91.96329,24.840522,non_forest,plantation,high,""
SYL-0003,sylhet,stable_non_forest,92.110165,25.091691,non_forest,plantation,high,""
SYL-0004,sylhet,stable_non_forest,92.096421,25.003836,natural_forest,natural_forest,high,""
SYL-0005,sylhet,stable_non_forest,91.753354,24.93215,natural_forest,natural_forest,high,""
SYL-0006,sylhet,stable_non_forest,92.193978,25.073635,non_forest,non_forest,high,""
SYL-0007,sylhet,stable_non_forest,91.861691,25.105166,natural_forest,,,""
SYL-0008,sylhet,stable_non_forest,91.891874,24.703888,non_forest,non_forest,high,""
SYL-0009,sylhet,stable_non_forest,92.095882,24.785006,non_forest,non_forest,high,""
SYL-0010,sylhet,stable_non_forest,91.879208,25.053153,non_forest,non_forest,high,""
SYL-0011,sylhet,stable_non_forest,91.690023,24.794169,non_forest,non_forest,high,""
SYL-0012,sylhet,stable_non_forest,92.157057,24.926491,non_forest,non_forest,high,""
SYL-0013,sylhet,stable_non_forest,92.300967,25.063933,non_forest,non_forest,high,""
SYL-0014,sylhet,stable_non_forest,91.795934,24.71359,non_forest,non_forest,high,""
SYL-0015,sylhet,stable_non_forest,91.897803,24.927838,natural_forest,natural_forest,high,""
SYL-0016,sylhet,stable_non_forest,91.781382,24.967723,non_forest,non_forest,high,""
SYL-0017,sylhet,stable_non_forest,91.902385,25.04426,non_forest,non_forest,high,""
SYL-0018,sylhet,stable_non_forest,92.1929,24.821657,non_forest,non_forest,high,""
SYL-0019,sylhet,stable_non_forest,91.884867,25.040757,non_forest,non_forest,high,""
SYL-0020,sylhet,stable_non_forest,91.689214,24.833785,non_forest,non_forest,high,""
SYL-0021,sylhet,stable_non_forest,91.710774,24.602558,non_forest,non_forest,high,""
SYL-0022,sylhet,stable_non_forest,92.140887,24.868549,non_forest,non_forest,high,""
SYL-0023,sylhet,stable_non_forest,91.868159,25.16688,non_forest,non_forest,high,""
SYL-0024,sylhet,stable_non_forest,91.840401,24.787971,non_forest,non_forest,high,""
SYL-0025,sylhet,stable_non_forest,91.753624,24.69742,non_forest,non_forest,high,""
SYL-0026,sylhet,stable_non_forest,91.960865,25.096811,non_forest,non_forest,high,""
SYL-0027,sylhet,stable_non_forest,91.930143,25.142895,non_forest,non_forest,high,""
SYL-0028,sylhet,stable_non_forest,92.214729,24.843756,non_forest,non_forest,high,""
SYL-0029,sylhet,stable_non_forest,91.779226,25.152058,non_forest,non_forest,high,""
SYL-0030,sylhet,stable_non_forest,91.852798,24.976078,non_forest,non_forest,high,""
SYL-0031,sylhet,stable_non_forest,91.753893,24.806566,natural_forest,non_forest,high,""
SYL-0032,sylhet,stable_non_forest,92.009643,25.155292,non_forest,non_forest,high,""
SYL-0033,sylhet,stable_non_forest,91.685711,24.824622,non_forest,non_forest,high,""
SYL-0034,sylhet,stable_non_forest,91.980269,25.008687,non_forest,non_forest,high,""
SYL-0035,sylhet,stable_non_forest,91.905619,25.138853,non_forest,non_forest,high,""
SYL-0036,sylhet,stable_non_forest,91.742305,24.603906,non_forest,non_forest,high,""
SYL-0037,sylhet,stable_non_forest,91.784346,24.751319,non_forest,plantation,high,""
SYL-0038,sylhet,stable_non_forest,92.450267,24.955057,non_forest,plantation,high,""
SYL-0039,sylhet,stable_non_forest,91.876244,24.839983,non_forest,plantation,high,""
SYL-0040,sylhet,stable_non_forest,92.089683,25.100045,non_forest,non_forest,high,""
SYL-0041,sylhet,stable_non_forest,92.053032,24.857231,water,water,high,""
SYL-0042,sylhet,stable_non_forest,91.734759,24.722214,non_forest,plantation,high,""
SYL-0043,sylhet,stable_non_forest,92.445955,24.961525,non_forest,plantation,high,""
SYL-0044,sylhet,stable_non_forest,92.1072,25.000063,natural_forest,natural_forest,high,""
SYL-0045,sylhet,stable_non_forest,91.788927,24.785276,non_forest,plantation,high,""
SYL-0046,sylhet,stable_non_forest,91.828004,25.077408,water,water,high,""
SYL-0047,sylhet,stable_non_forest,91.778417,24.850763,natural_forest,plantation,high,""
SYL-0048,sylhet,stable_non_forest,91.979999,24.906009,water,water,high,""
SYL-0049,sylhet,stable_non_forest,91.858457,24.734072,natural_forest,plantation,high,""
SYL-0050,sylhet,stable_non_forest,91.7609,24.841331,non_forest,plantation,high,""
SYL-0051,sylhet,stable_non_forest,92.396099,24.957213,non_forest,non_forest,high,""
SYL-0052,sylhet,stable_non_forest,92.14493,25.088727,plantation,non_forest,high,""
SYL-0053,sylhet,stable_non_forest,92.052763,25.064472,water,non_forest,high,""
SYL-0054,sylhet,stable_non_forest,91.792161,24.992517,non_forest,non_forest,high,""
SYL-0055,sylhet,stable_non_forest,91.721015,24.975,natural_forest,natural_forest,high,""
SYL-0056,sylhet,stable_non_forest,92.195056,24.871244,non_forest,non_forest,high,""
SYL-0057,sylhet,stable_non_forest,91.818302,25.123761,natural_forest,natural_forest,high,""
SYL-0058,sylhet,stable_non_forest,92.064351,24.887953,non_forest,non_forest,high,""
SYL-0059,sylhet,stable_non_forest,91.761439,25.026473,natural_forest,plantation,high,""
SYL-0060,sylhet,stable_non_forest,91.844174,24.717632,non_forest,non_forest,high,""
SYL-0061,sylhet,stable_non_forest,91.843635,25.024587,non_forest,non_forest,high,""
SYL-0062,sylhet,stable_non_forest,92.324683,24.977964,non_forest,plantation,high,""
SYL-0063,sylhet,stable_non_forest,91.839323,24.820849,non_forest,plantation,high,""
SYL-0064,sylhet,stable_non_forest,91.655528,24.666698,non_forest,plantation,high,""
SYL-0065,sylhet,stable_non_forest,91.881903,24.779886,non_forest,plantation,high,""
SYL-0066,sylhet,stable_non_forest,92.04333,25.142356,non_forest,plantation,high,""
SYL-0067,sylhet,stable_non_forest,91.746078,25.114868,non_forest,plantation,high,""
SYL-0068,sylhet,stable_non_forest,91.838784,24.727065,non_forest,plantation,high,""
SYL-0069,sylhet,stable_non_forest,91.871123,24.880946,non_forest,non_forest,high,""
SYL-0070,sylhet,stable_non_forest,92.051954,24.789588,non_forest,non_forest,high,""
SYL-0071,sylhet,stable_non_forest,91.845521,24.75078,non_forest,plantation,high,""
SYL-0072,sylhet,stable_non_forest,91.785424,25.077947,non_forest,non_forest,high,""
SYL-0073,sylhet,stable_non_forest,92.252189,25.016771,non_forest,plantation,high,""
SYL-0074,sylhet,stable_non_forest,91.975148,24.699846,natural_forest,natural_forest,high,""
SYL-0075,sylhet,stable_non_forest,92.24626,25.000332,non_forest,plantation,high,""
SYL-0076,sylhet,stable_non_forest,92.140618,24.786084,non_forest,non_forest,high,""
SYL-0077,sylhet,stable_non_forest,91.906158,24.892534,non_forest,plantation,medium,""
SYL-0078,sylhet,stable_non_forest,91.69676,24.626543,non_forest,plantation,high,""
SYL-0079,sylhet,stable_non_forest,91.813182,25.147476,natural_forest,plantation,medium,""
SYL-0080,sylhet,stable_non_forest,92.061386,25.096272,non_forest,non_forest,medium,""
SYL-0081,sylhet,stable_non_forest,92.260543,25.010843,non_forest,plantation,medium,""
SYL-0082,sylhet,stable_non_forest,91.722901,24.779077,non_forest,plantation,medium,""
SYL-0083,sylhet,stable_non_forest,92.115285,25.087649,non_forest,plantation,medium,""
SYL-0084,sylhet,stable_non_forest,92.045217,24.74566,non_forest,plantation,medium,""
SYL-0085,sylhet,stable_non_forest,91.951702,25.14532,non_forest,plantation,medium,""
SYL-0086,sylhet,stable_non_forest,91.927717,24.95883,natural_forest,natural_forest,high,""
SYL-0087,sylhet,stable_non_forest,91.69703,24.992247,natural_forest,natural_forest,high,""
SYL-0088,sylhet,stable_non_forest,91.907236,24.979312,non_forest,plantation,medium,""
SYL-0089,sylhet,stable_non_forest,92.004793,24.92676,natural_forest,plantation,medium,""
SYL-0090,sylhet,stable_non_forest,91.68113,24.829203,natural_forest,natural_forest,high,""
SYL-0091,sylhet,stable_non_forest,91.753624,25.087379,natural_forest,plantation,medium,""
SYL-0092,sylhet,stable_non_forest,92.010721,24.896577,non_forest,plantation,medium,""
SYL-0093,sylhet,stable_non_forest,92.480989,24.914094,non_forest,non_forest,high,""
SYL-0094,sylhet,stable_non_forest,91.928526,24.720866,non_forest,plantation,medium,""
SYL-0095,sylhet,stable_non_forest,91.854954,24.819501,non_forest,plantation,high,""
SYL-0096,sylhet,stable_non_forest,91.8784,25.058543,non_forest,plantation,medium,""
SYL-0097,sylhet,stable_non_forest,91.898073,24.814112,non_forest,plantation,medium,""
SYL-0098,sylhet,stable_non_forest,92.182928,24.827586,natural_forest,natural_forest,high,""
SYL-0099,sylhet,stable_non_forest,92.002637,24.713051,non_forest,,,""
SYL-0100,sylhet,stable_non_forest,92.014494,25.164724,non_forest,plantation,medium,""
SYL-0101,sylhet,stable_non_forest,91.965177,25.045607,non_forest,plantation,medium,""
SYL-0102,sylhet,stable_non_forest,92.071627,25.027821,non_forest,plantation,medium,""
SYL-0103,sylhet,stable_non_forest,92.344895,24.908974,non_forest,non_forest,medium,""
SYL-0104,sylhet,stable_non_forest,92.162716,24.827047,natural_forest,natural_forest,medium,""
SYL-0105,sylhet,stable_non_forest,91.737723,25.106513,natural_forest,natural_forest,high,""
SYL-0106,sylhet,stable_non_forest,91.945234,24.862621,non_forest,non_forest,medium,""
SYL-0107,sylhet,stable_non_forest,92.144121,24.816807,non_forest,non_forest,medium,""
SYL-0108,sylhet,stable_non_forest,91.946043,24.765872,natural_forest,natural_forest,high,""
SYL-0109,sylhet,stable_non_forest,92.174574,24.955866,non_forest,plantation,medium,""
SYL-0110,sylhet,stable_non_forest,92.137114,24.764794,non_forest,non_forest,low,""
SYL-0111,sylhet,stable_non_forest,92.212034,24.835132,natural_forest,natural_forest,high,""
SYL-0112,sylhet,stable_non_forest,92.323874,24.983085,non_forest,plantation,low,""
SYL-0113,sylhet,stable_non_forest,92.098577,25.091152,plantation,non_forest,high,""
SYL-0114,sylhet,stable_non_forest,92.049259,25.06043,non_forest,non_forest,medium,""
SYL-0115,sylhet,stable_non_forest,92.025274,24.878251,non_forest,plantation,medium,""
SYL-0116,sylhet,stable_non_forest,91.78219,25.047763,plantation,plantation,medium,""
SYL-0117,sylhet,stable_non_forest,92.226048,24.850493,natural_forest,natural_forest,medium,""
SYL-0118,sylhet,stable_non_forest,91.698647,24.735689,natural_forest,natural_forest,medium,""
SYL-0119,sylhet,stable_non_forest,92.129838,25.069053,non_forest,non_forest,medium,""
SYL-0120,sylhet,stable_non_forest,92.423048,24.90035,non_forest,non_forest,medium,""
SYL-0121,sylhet,stable_non_forest,91.891874,24.874478,natural_forest,natural_forest,medium,""
SYL-0122,sylhet,stable_non_forest,92.185893,24.939696,natural_forest,natural_forest,medium,""
SYL-0123,sylhet,stable_non_forest,92.103967,24.789588,natural_forest,natural_forest,medium,""
SYL-0124,sylhet,stable_non_forest,92.092109,24.992517,water,water,high,""
SYL-0125,sylhet,stable_non_forest,91.964638,24.807105,non_forest,plantation,medium,""
SYL-0126,sylhet,stable_non_forest,91.981616,24.717363,natural_forest,natural_forest,high,""
SYL-0127,sylhet,stable_non_forest,92.012608,24.794708,non_forest,non_forest,high,""
SYL-0128,sylhet,stable_non_forest,92.091031,25.126186,non_forest,non_forest,high,""
SYL-0129,sylhet,stable_non_forest,92.095882,24.989283,natural_forest,natural_forest,high,""
SYL-0130,sylhet,stable_non_forest,91.922866,24.705236,natural_forest,natural_forest,high,""
SYL-0131,sylhet,stable_non_forest,91.86735,24.923257,natural_forest,natural_forest,high,""
SYL-0132,sylhet,stable_non_forest,92.154901,24.929455,natural_forest,natural_forest,high,""
SYL-0133,sylhet,stable_non_forest,91.911278,24.994403,non_forest,non_forest,high,""
SYL-0134,sylhet,stable_non_forest,91.670619,24.63355,non_forest,plantation,high,""
SYL-0135,sylhet,stable_non_forest,91.891605,25.160682,non_forest,plantation,medium,""
SYL-0136,sylhet,stable_non_forest,92.393404,24.989283,non_forest,plantation,medium,""
SYL-0137,sylhet,stable_non_forest,91.923405,24.87906,non_forest,plantation,medium,""
SYL-0138,sylhet,stable_non_forest,91.874896,25.029707,non_forest,non_forest,medium,""
SYL-0139,sylhet,stable_non_forest,92.064081,24.786623,non_forest,non_forest,medium,""
SYL-0140,sylhet,stable_non_forest,91.945504,25.011112,non_forest,non_forest,medium,""
SYL-0141,sylhet,stable_non_forest,92.040096,24.823813,non_forest,natural_forest,medium,""
SYL-0142,sylhet,stable_non_forest,91.782999,25.03887,non_forest,plantation,medium,""
SYL-0143,sylhet,stable_non_forest,92.296116,24.980929,non_forest,non_forest,medium,""
SYL-0144,sylhet,stable_non_forest,92.212034,25.0068,non_forest,plantation,high,""
SYL-0145,sylhet,stable_non_forest,92.078365,24.862082,non_forest,plantation,high,""
SYL-0146,sylhet,stable_non_forest,92.21958,24.965837,water,water,high,""
SYL-0147,sylhet,stable_non_forest,91.901307,24.928647,natural_forest,natural_forest,medium,""
SYL-0148,sylhet,stable_non_forest,91.722901,24.758865,non_forest,plantation,medium,""
SYL-0149,sylhet,stable_non_forest,91.859535,24.95344,non_forest,plantation,medium,""
SYL-0150,sylhet,stable_non_forest,92.401219,24.994942,water,water,medium,""
SYL-0151,sylhet,stable_forest,91.818033,25.077408,natural_forest,natural_forest,medium,""
SYL-0152,sylhet,stable_forest,91.719128,25.035636,natural_forest,natural_forest,high,""
SYL-0153,sylhet,stable_forest,91.768176,24.781233,non_forest,plantation,medium,""
SYL-0154,sylhet,stable_forest,91.684902,24.757787,non_forest,plantation,medium,""
SYL-0155,sylhet,stable_forest,92.396368,24.885528,non_forest,plantation,medium,""
SYL-0156,sylhet,stable_forest,91.958709,24.967184,plantation,plantation,medium,""
SYL-0157,sylhet,stable_forest,91.962751,24.654301,non_forest,non_forest,high,""
SYL-0158,sylhet,stable_forest,91.746617,24.880677,non_forest,non_forest,high,""
SYL-0159,sylhet,stable_forest,91.987545,24.966645,natural_forest,natural_forest,high,""
SYL-0160,sylhet,stable_forest,91.901576,24.849685,natural_forest,natural_forest,high,""
SYL-0161,sylhet,stable_forest,92.379929,25.02836,natural_forest,natural_forest,high,""
SYL-0162,sylhet,stable_forest,91.939305,24.814381,non_forest,plantation,high,""
SYL-0163,sylhet,stable_forest,91.712121,24.722214,natural_forest,natural_forest,high,""
SYL-0164,sylhet,stable_forest,92.364029,25.021622,natural_forest,natural_forest,high,""
SYL-0165,sylhet,stable_forest,92.140887,24.955866,non_forest,non_forest,high,""
SYL-0166,sylhet,stable_forest,92.368341,24.961525,non_forest,non_forest,high,""
SYL-0167,sylhet,stable_forest,91.901846,24.925952,natural_forest,natural_forest,high,""
SYL-0168,sylhet,stable_forest,92.427899,24.887953,plantation,plantation,high,""
SYL-0169,sylhet,stable_forest,92.149511,25.093308,natural_forest,natural_forest,high,""
SYL-0170,sylhet,stable_forest,91.957362,24.978773,natural_forest,natural_forest,high,""
SYL-0171,sylhet,stable_forest,92.036323,25.082528,natural_forest,natural_forest,high,""
SYL-0172,sylhet,stable_forest,92.399333,25.029977,non_forest,non_forest,high,""
SYL-0173,sylhet,stable_forest,92.12876,24.854805,natural_forest,natural_forest,high,""
SYL-0174,sylhet,stable_forest,91.730447,24.76183,non_forest,plantation,high,""
SYL-0175,sylhet,stable_forest,91.632621,24.631125,natural_forest,natural_forest,high,""
SYL-0176,sylhet,stable_forest,92.217693,25.117023,natural_forest,natural_forest,high,""
SYL-0177,sylhet,stable_forest,92.113668,25.036175,non_forest,non_forest,high,""
SYL-0178,sylhet,stable_forest,92.136036,25.100045,natural_forest,natural_forest,high,""
SYL-0179,sylhet,stable_forest,91.72883,24.772879,natural_forest,plantation,high,""
SYL-0180,sylhet,stable_forest,92.194247,25.059082,non_forest,non_forest,high,""
SYL-0181,sylhet,stable_forest,91.849564,25.159604,natural_forest,natural_forest,high,""
SYL-0182,sylhet,stable_forest,92.279408,24.917328,natural_forest,natural_forest,high,""
SYL-0183,sylhet,stable_forest,91.969489,24.816807,non_forest,non_forest,high,""
SYL-0184,sylhet,stable_forest,92.148164,24.908704,non_forest,non_forest,high,""
SYL-0185,sylhet,stable_forest,91.831508,24.818423,non_forest,plantation,high,""
SYL-0186,sylhet,stable_forest,92.112051,24.886067,natural_forest,plantation,high,""
SYL-0187,sylhet,stable_forest,92.149781,24.804949,non_forest,non_forest,high,""
SYL-0188,sylhet,stable_forest,92.185893,25.081989,natural_forest,natural_forest,high,""
SYL-0189,sylhet,stable_forest,91.726405,24.751319,non_forest,plantation,high,""
SYL-0190,sylhet,stable_forest,91.976496,25.14532,plantation,plantation,medium,""
SYL-0191,sylhet,stable_forest,92.151667,24.812495,plantation,plantation,medium,""
SYL-0192,sylhet,stable_forest,91.96329,24.655379,natural_forest,natural_forest,medium,""
SYL-0193,sylhet,stable_forest,92.472635,24.87367,natural_forest,natural_forest,high,""
SYL-0194,sylhet,stable_forest,92.414694,24.875287,non_forest,non_forest,high,""
SYL-0195,sylhet,stable_forest,91.925831,24.741348,non_forest,non_forest,high,""
SYL-0196,sylhet,stable_forest,92.291535,25.024856,plantation,non_forest,high,""
SYL-0197,sylhet,stable_forest,91.915859,24.692839,non_forest,non_forest,high,""
SYL-0198,sylhet,stable_forest,91.842287,25.061238,non_forest,non_forest,high,""
SYL-0199,sylhet,stable_forest,92.121214,24.850493,non_forest,plantation,high,""
SYL-0200,sylhet,stable_forest,92.18751,25.093577,non_forest,non_forest,medium,""
SYL-0201,sylhet,stable_forest,91.902385,24.658344,natural_forest,natural_forest,medium,""
SYL-0202,sylhet,stable_forest,92.144121,25.121605,non_forest,plantation,medium,""
SYL-0203,sylhet,stable_forest,92.163255,25.084954,non_forest,plantation,medium,""
SYL-0204,sylhet,stable_forest,91.830969,24.875826,non_forest,plantation,medium,""
SYL-0205,sylhet,stable_forest,91.889718,24.93215,natural_forest,natural_forest,high,""
SYL-0206,sylhet,stable_forest,92.157326,24.787162,natural_forest,natural_forest,high,""
SYL-0207,sylhet,stable_forest,91.999403,24.959908,natural_forest,natural_forest,high,""
SYL-0208,sylhet,stable_forest,92.138192,25.136697,natural_forest,natural_forest,high,""
