point_id,district,stratum,lon,lat,class_t0,class_t3,confidence,notes
BAN-0001,bandarban,stable_non_forest,92.5233,21.570475,,,,
BAN-0002,bandarban,stable_non_forest,92.394212,21.748341,,,,
BAN-0003,bandarban,stable_non_forest,92.154093,21.408778,,,,
BAN-0004,bandarban,stable_non_forest,92.485301,21.92513,,,,
BAN-0005,bandarban,stable_non_forest,92.153823,22.319939,,,,
BAN-0006,bandarban,stable_non_forest,92.337079,21.868266,,,,
BAN-0007,bandarban,stable_non_forest,92.3263,21.801701,,,,
BAN-0008,bandarban,stable_non_forest,92.168915,21.835118,,,,
BAN-0009,bandarban,stable_non_forest,92.232246,21.73837,,,,
BAN-0010,bandarban,stable_non_forest,92.477217,21.430877,,,,
BAN-0011,bandarban,stable_non_forest,92.367532,22.145576,,,,
BAN-0012,bandarban,stable_non_forest,92.200446,22.104344,,,,
BAN-0013,bandarban,stable_non_forest,92.174574,21.305292,,,,
BAN-0014,bandarban,stable_non_forest,92.376156,22.263345,,,,
BAN-0015,bandarban,stable_non_forest,92.243295,21.448933,,,,
BAN-0016,bandarban,stable_non_forest,92.484762,21.579368,,,,
BAN-0017,bandarban,stable_non_forest,92.49662,21.635692,,,,
BAN-0018,bandarban,stable_non_forest,92.199368,22.325868,,,,
BAN-0019,bandarban,stable_non_forest,92.297194,22.118896,,,,
BAN-0020,bandarban,stable_non_forest,92.153015,21.889826,,,,
BAN-0021,bandarban,stable_non_forest,92.141965,21.616828,,,,
BAN-0022,bandarban,stable_non_forest,92.43248,21.424139,,,,
BAN-0023,bandarban,stable_non_forest,92.323874,21.949923,,,,
BAN-0024,bandarban,stable_non_forest,92.212034,21.730824,,,,
BAN-0025,bandarban,stable_non_forest,92.369688,22.246637,,,,
BAN-0026,bandarban,stable_non_forest,92.434906,21.728129,,,,
BAN-0027,bandarban,stable_non_forest,92.087797,21.904109,,,,
BAN-0028,bandarban,stable_non_forest,92.17134,21.529512,,,,
BAN-0029,bandarban,stable_non_forest,92.154901,21.904109,,,,
BAN-0030,bandarban,stable_non_forest,92.222275,21.730285,,,,
BAN-0031,bandarban,stable_non_forest,92.132802,21.80763,,,,
BAN-0032,bandarban,stable_non_forest,92.211764,21.895485,,,,
BAN-0033,bandarban,stable_non_forest,92.313903,22.060416,,,,
BAN-0034,bandarban,stable_non_forest,92.385588,21.604701,,,,
BAN-0035,bandarban,stable_non_forest,92.143043,21.811133,,,,
BAN-0036,bandarban,stable_non_forest,92.345973,22.232892,,,,
