point_id,district,stratum,lon,lat,class_t0,class_t3,confidence,notes
SYL-0001,sylhet,stable_non_forest,91.929334,24.895768,,,,
SYL-0002,sylhet,stable_non_forest,91.96329,24.840522,,,,
SYL-0003,sylhet,stable_non_forest,92.110165,25.091691,,,,
SYL-0004,sylhet,stable_non_forest,92.096421,25.003836,,,,
SYL-0005,sylhet,stable_non_forest,91.753354,24.93215,,,,
SYL-0006,sylhet,stable_non_forest,92.193978,25.073635,,,,
SYL-0007,sylhet,stable_non_forest,91.861691,25.105166,,,,
SYL-0008,sylhet,stable_non_forest,91.891874,24.703888,,,,
SYL-0009,sylhet,stable_non_forest,92.095882,24.785006,,,,
SYL-0010,sylhet,stable_non_forest,91.879208,25.053153,,,,
SYL-0011,sylhet,stable_non_forest,91.690023,24.794169,,,,
SYL-0012,sylhet,stable_non_forest,92.157057,24.926491,,,,
SYL-0013,sylhet,stable_non_forest,92.300967,25.063933,,,,
SYL-0014,sylhet,stable_non_forest,91.795934,24.71359,,,,
SYL-0015,sylhet,stable_non_forest,91.897803,24.927838,,,,
SYL-0016,sylhet,stable_non_forest,91.781382,24.967723,,,,
SYL-0017,sylhet,stable_non_forest,91.902385,25.04426,,,,
SYL-0018,sylhet,stable_non_forest,92.1929,24.821657,,,,
SYL-0019,sylhet,stable_non_forest,91.884867,25.040757,,,,
SYL-0020,sylhet,stable_non_forest,91.689214,24.833785,,,,
SYL-0021,sylhet,stable_non_forest,91.710774,24.602558,,,,
SYL-0022,sylhet,stable_non_forest,92.140887,24.868549,,,,
SYL-0023,sylhet,stable_non_forest,91.868159,25.16688,,,,
SYL-0024,sylhet,stable_non_forest,91.840401,24.787971,,,,
SYL-0025,sylhet,stable_non_forest,91.753624,24.69742,,,,
SYL-0026,sylhet,stable_non_forest,91.960865,25.096811,,,,
SYL-0027,sylhet,stable_non_forest,91.930143,25.142895,,,,
SYL-0028,sylhet,stable_non_forest,92.214729,24.843756,,,,
SYL-0029,sylhet,stable_non_forest,91.779226,25.152058,,,,
SYL-0030,sylhet,stable_non_forest,91.852798,24.976078,,,,
SYL-0031,sylhet,stable_non_forest,91.753893,24.806566,,,,
SYL-0032,sylhet,stable_non_forest,92.009643,25.155292,,,,
SYL-0033,sylhet,stable_non_forest,91.685711,24.824622,,,,
SYL-0034,sylhet,stable_non_forest,91.980269,25.008687,,,,
SYL-0035,sylhet,stable_non_forest,91.905619,25.138853,,,,
SYL-0036,sylhet,stable_non_forest,91.742305,24.603906,,,,
SYL-0037,sylhet,stable_non_forest,91.784346,24.751319,,,,
SYL-0038,sylhet,stable_non_forest,92.450267,24.955057,,,,
SYL-0039,sylhet,stable_non_forest,91.876244,24.839983,,,,
SYL-0040,sylhet,stable_non_forest,92.089683,25.100045,,,,
