point_id,district,stratum,lon,lat,class_t0,class_t3,confidence,notes
SYL-P0001,sylhet,plantation,91.897803,24.927838,,,,
SYL-P0002,sylhet,plantation,91.987545,24.966645,,,,
SYL-P0003,sylhet,plantation,91.901307,24.928647,,,,
SYL-P0004,sylhet,plantation,91.901846,24.925952,,,,
SYL-P0005,sylhet,plantation,91.991587,24.963412,,,,
SYL-P0006,sylhet,plantation,92.022849,24.970688,,,,
SYL-P0007,sylhet,plantation,92.022579,24.971766,,,,
SYL-P0008,sylhet,plantation,91.988353,24.957483,,,,
SYL-P0009,sylhet,plantation,91.871123,24.938079,,,,
SYL-P0010,sylhet,plantation,91.908583,24.93754,,,,
SYL-P0011,sylhet,plantation,91.972184,24.970149,,,,
SYL-P0012,sylhet,plantation,92.016111,24.96934,,,,
SYL-P0013,sylhet,plantation,91.995899,24.971496,,,,
SYL-P0014,sylhet,plantation,92.003445,24.967723,,,,
SYL-P0015,sylhet,plantation,92.020962,24.970957,,,,
SYL-P0016,sylhet,plantation,92.00075,24.975269,,,,
SYL-P0017,sylhet,plantation,91.992935,24.969879,,,,
SYL-P0018,sylhet,plantation,91.862769,24.929186,,,,
SYL-P0019,sylhet,plantation,91.906697,24.926221,,,,
SYL-P0020,sylhet,plantation,92.002367,24.967184,,,,
SYL-P0021,sylhet,plantation,92.001559,24.962873,,,,
SYL-P0022,sylhet,plantation,91.899959,24.93215,,,,
SYL-P0023,sylhet,plantation,91.976765,24.972844,,,,
SYL-P0024,sylhet,plantation,91.893761,24.927299,,,,
SYL-P0025,sylhet,plantation,91.857918,24.931342,,,,
SYL-P0026,sylhet,plantation,91.911547,24.939696,,,,
SYL-P0027,sylhet,plantation,92.000481,24.977156,,,,
SYL-P0028,sylhet,plantation,91.982155,24.955866,,,,
SYL-P0029,sylhet,plantation,91.995091,24.95883,,,,
SYL-P0030,sylhet,plantation,91.989162,24.965568,,,,
SYL-P0031,sylhet,plantation,91.964099,24.972844,,,,
SYL-P0032,sylhet,plantation,91.906158,24.936193,,,,
SYL-P0033,sylhet,plantation,91.992935,24.958561,,,,
SYL-P0034,sylhet,plantation,91.968411,24.975,,,,
SYL-P0035,sylhet,plantation,92.01153,24.975269,,,,
SYL-P0036,sylhet,plantation,92.011799,24.974191,,,,
SYL-P0037,sylhet,plantation,91.99536,24.962064,,,,
SYL-P0038,sylhet,plantation,91.859265,24.928647,,,,
SYL-P0039,sylhet,plantation,91.860882,24.938079,,,,
SYL-P0040,sylhet,plantation,91.870045,24.933767,,,,
SYL-P0041,sylhet,plantation,91.870315,24.931342,,,,
SYL-P0042,sylhet,plantation,92.021232,24.977964,,,,
SYL-P0043,sylhet,plantation,91.976496,24.969071,,,,
SYL-P0044,sylhet,plantation,91.909661,24.928377,,,,
SYL-P0045,sylhet,plantation,91.9102,24.929994,,,,
SYL-P0046,sylhet,plantation,91.91559,24.931072,,,,
SYL-P0047,sylhet,plantation,91.887023,24.939696,,,,
SYL-P0048,sylhet,plantation,91.913973,24.935384,,,,
SYL-P0049,sylhet,plantation,91.993474,24.959369,,,,
SYL-P0050,sylhet,plantation,91.86762,24.934037,,,,
SYL-P0051,sylhet,plantation,91.872471,24.939696,,,,
SYL-P0052,sylhet,plantation,91.992396,24.957483,,,,
SYL-P0053,sylhet,plantation,91.972992,24.967993,,,,
SYL-P0054,sylhet,plantation,91.97407,24.973922,,,,
SYL-P0055,sylhet,plantation,91.868428,24.934845,,,,
SYL-P0056,sylhet,plantation,91.852798,24.917867,,,,
SYL-P0057,sylhet,plantation,92.006949,24.966376,,,,
SYL-P0058,sylhet,plantation,92.01153,24.96449,,,,
SYL-P0059,sylhet,plantation,91.909122,24.931342,,,,
SYL-P0060,sylhet,plantation,91.988084,24.967184,,,,
SYL-P0061,sylhet,plantation,91.981886,24.972035,,,,
SYL-P0062,sylhet,plantation,91.866003,24.938349,,,,
SYL-P0063,sylhet,plantation,91.986197,24.967993,,,,
SYL-P0064,sylhet,plantation,92.013955,24.975,,,,
SYL-P0065,sylhet,plantation,91.886215,24.942121,,,,
SYL-P0066,sylhet,plantation,91.905349,24.926491,,,,
SYL-P0067,sylhet,plantation,92.017189,24.982007,,,,
SYL-P0068,sylhet,plantation,91.86223,24.929994,,,,
SYL-P0069,sylhet,plantation,91.971645,24.976617,,,,
SYL-P0070,sylhet,plantation,91.871932,24.939427,,,,
SYL-P0071,sylhet,plantation,91.912895,24.938618,,,,
SYL-P0072,sylhet,plantation,91.968411,24.976617,,,,
SYL-P0073,sylhet,plantation,92.014764,24.968801,,,,
SYL-P0074,sylhet,plantation,91.965985,24.970688,,,,
SYL-P0075,sylhet,plantation,91.918015,24.933498,,,,
SYL-P0076,sylhet,plantation,91.867889,24.931342,,,,
SYL-P0077,sylhet,plantation,92.013147,24.970957,,,,
SYL-P0078,sylhet,plantation,91.975418,24.970957,,,,
SYL-P0079,sylhet,plantation,91.916398,24.931881,,,,
SYL-P0080,sylhet,plantation,91.969219,24.972844,,,,
SYL-P0081,sylhet,plantation,91.987545,24.970149,,,,
SYL-P0082,sylhet,plantation,92.01665,24.977695,,,,
SYL-P0083,sylhet,plantation,91.992665,24.961795,,,,
SYL-P0084,sylhet,plantation,91.893491,24.923257,,,,
SYL-P0085,sylhet,plantation,91.971914,24.973113,,,,
SYL-P0086,sylhet,plantation,91.891335,24.944547,,,,
SYL-P0087,sylhet,plantation,91.863577,24.939696,,,,
SYL-P0088,sylhet,plantation,91.988353,24.959369,,,,
SYL-P0089,sylhet,plantation,91.85711,24.936732,,,,
SYL-P0090,sylhet,plantation,91.89942,24.931881,,,,
SYL-P0091,sylhet,plantation,91.899151,24.929994,,,,
SYL-P0092,sylhet,plantation,91.99536,24.964759,,,,
SYL-P0093,sylhet,plantation,92.003445,24.972844,,,,
SYL-P0094,sylhet,plantation,91.906158,24.924604,,,,
SYL-P0095,sylhet,plantation,92.009643,24.967184,,,,
SYL-P0096,sylhet,plantation,91.975418,24.971766,,,,
SYL-P0097,sylhet,plantation,92.009643,24.96961,,,,
SYL-P0098,sylhet,plantation,91.897534,24.927838,,,,
SYL-P0099,sylhet,plantation,91.86762,24.933767,,,,
SYL-P0100,sylhet,plantation,91.868698,24.930264,,,,
