point_id,district,stratum,lon,lat,class_t0,class_t3,confidence,notes
GAZ-0001,gazipur,stable_non_forest,90.658398,24.156275,,,,
GAZ-0002,gazipur,stable_non_forest,90.302395,24.214217,,,,
GAZ-0003,gazipur,stable_non_forest,90.381627,23.944183,,,,
GAZ-0004,gazipur,stable_non_forest,90.327458,24.002663,,,,
GAZ-0005,gazipur,stable_non_forest,90.578897,23.974636,,,,
GAZ-0006,gazipur,stable_non_forest,90.5824,24.145765,,,,
GAZ-0007,gazipur,stable_non_forest,90.367613,24.22823,,,,
GAZ-0008,gazipur,stable_non_forest,90.425285,23.90861,,,,
GAZ-0009,gazipur,stable_non_forest,90.480531,24.26057,,,,
GAZ-0010,gazipur,stable_non_forest,90.31587,24.24952,,,,
GAZ-0011,gazipur,stable_non_forest,90.423398,24.05252,,,,
GAZ-0012,gazipur,stable_non_forest,90.261971,24.065456,,,,
GAZ-0013,gazipur,stable_non_forest,90.423668,24.166247,,,,
GAZ-0014,gazipur,stable_non_forest,90.331231,23.97787,,,,
GAZ-0015,gazipur,stable_non_forest,90.480801,24.141184,,,,
GAZ-0016,gazipur,stable_non_forest,90.277602,24.114234,,,,
GAZ-0017,gazipur,stable_non_forest,90.576202,24.074888,,,,
GAZ-0018,gazipur,stable_non_forest,90.49697,23.900525,,,,
GAZ-0019,gazipur,stable_non_forest,90.494545,24.258683,,,,
GAZ-0020,gazipur,stable_non_forest,90.553834,24.060335,,,,
GAZ-0021,gazipur,stable_non_forest,90.497509,23.907532,,,,
GAZ-0022,gazipur,stable_non_forest,90.32099,24.226074,,,,
GAZ-0023,gazipur,stable_non_forest,90.493467,24.257605,,,,
GAZ-0024,gazipur,stable_non_forest,90.287843,24.135524,,,,
GAZ-0025,gazipur,stable_non_forest,90.215079,24.077583,,,,
GAZ-0026,gazipur,stable_non_forest,90.621477,24.174331,,,,
GAZ-0027,gazipur,stable_non_forest,90.465978,24.31366,,,,
GAZ-0028,gazipur,stable_non_forest,90.618243,24.040662,,,,
GAZ-0029,gazipur,stable_non_forest,90.4172,24.27108,,,,
GAZ-0030,gazipur,stable_non_forest,90.301856,24.215025,,,,
GAZ-0031,gazipur,stable_non_forest,90.419625,23.997812,,,,
GAZ-0032,gazipur,stable_non_forest,90.47568,23.968168,,,,
GAZ-0033,gazipur,stable_non_forest,90.327997,23.985685,,,,
GAZ-0034,gazipur,stable_non_forest,90.315062,24.001855,,,,
GAZ-0035,gazipur,stable_non_forest,90.472446,24.154389,,,,
GAZ-0036,gazipur,stable_non_forest,90.541706,24.246825,,,,
GAZ-0037,gazipur,stable_non_forest,90.318026,24.111,,,,
GAZ-0038,gazipur,stable_non_forest,90.634143,24.013713,,,,
GAZ-0039,gazipur,stable_non_forest,90.519069,24.240627,,,,
GAZ-0040,gazipur,stable_non_forest,90.622824,24.220415,,,,
GAZ-0041,gazipur,stable_non_forest,90.229901,24.076235,,,,
GAZ-0042,gazipur,stable_non_forest,90.59857,24.204245,,,,
GAZ-0043,gazipur,stable_non_forest,90.616626,24.03662,,,,
GAZ-0044,gazipur,stable_non_forest,90.63576,24.263534,,,,
GAZ-0045,gazipur,stable_non_forest,90.47029,24.024223,,,,
GAZ-0046,gazipur,stable_non_forest,90.387017,24.209635,,,,
GAZ-0047,gazipur,stable_non_forest,90.340394,24.028535,,,,
GAZ-0048,gazipur,stable_non_forest,90.608002,23.922084,,,,
GAZ-0049,gazipur,stable_non_forest,90.436334,24.33522,,,,
GAZ-0050,gazipur,stable_non_forest,90.545479,23.98326,,,,
GAZ-0051,gazipur,stable_non_forest,90.657859,24.094292,,,,
GAZ-0052,gazipur,stable_non_forest,90.458702,23.970863,,,,
GAZ-0053,gazipur,stable_non_forest,90.54521,24.150885,,,,
GAZ-0054,gazipur,stable_non_forest,90.190555,24.039315,,,,
GAZ-0055,gazipur,stable_non_forest,90.672411,24.160048,,,,
GAZ-0056,gazipur,stable_non_forest,90.294041,23.984068,,,,
GAZ-0057,gazipur,stable_non_forest,90.515026,24.115582,,,,
GAZ-0058,gazipur,stable_non_forest,90.522572,24.064108,,,,
GAZ-0059,gazipur,stable_non_forest,90.306168,23.973558,,,,
GAZ-0060,gazipur,stable_non_forest,90.167917,24.035542,,,,
GAZ-0061,gazipur,stable_non_forest,90.537934,24.148729,,,,
GAZ-0062,gazipur,stable_non_forest,90.341472,24.168942,,,,
GAZ-0063,gazipur,stable_non_forest,90.402378,24.058988,,,,
GAZ-0064,gazipur,stable_non_forest,90.510984,23.883547,,,,
GAZ-0065,gazipur,stable_non_forest,90.643306,24.166247,,,,
GAZ-0066,gazipur,stable_non_forest,90.484843,23.852285,,,,
GAZ-0067,gazipur,stable_non_forest,90.430944,24.029343,,,,
GAZ-0068,gazipur,stable_non_forest,90.654086,24.148999,,,,
GAZ-0069,gazipur,stable_non_forest,90.622824,24.204245,,,,
GAZ-0070,gazipur,stable_non_forest,90.502091,24.222571,,,,
GAZ-0071,gazipur,stable_non_forest,90.659745,24.230386,,,,
GAZ-0072,gazipur,stable_non_forest,90.522303,24.303958,,,,
GAZ-0073,gazipur,stable_non_forest,90.353599,24.053867,,,,
GAZ-0074,gazipur,stable_non_forest,90.524728,23.89244,,,,
GAZ-0075,gazipur,stable_non_forest,90.397527,24.2603,,,,
GAZ-0076,gazipur,stable_non_forest,90.542515,24.00428,,,,
GAZ-0077,gazipur,stable_non_forest,90.57162,24.018294,,,,
GAZ-0078,gazipur,stable_non_forest,90.569464,24.15358,,,,
GAZ-0079,gazipur,stable_non_forest,90.531735,23.914,,,,
GAZ-0080,gazipur,stable_non_forest,90.320182,24.085398,,,,
GAZ-0081,gazipur,stable_non_forest,90.379471,24.20721,,,,
GAZ-0082,gazipur,stable_non_forest,90.401569,23.909688,,,,
GAZ-0083,gazipur,stable_non_forest,90.330962,24.091597,,,,
GAZ-0084,gazipur,stable_non_forest,90.606385,24.12178,,,,
GAZ-0085,gazipur,stable_non_forest,90.489694,24.126092,,,,
GAZ-0086,gazipur,stable_non_forest,90.424476,24.226074,,,,
GAZ-0087,gazipur,stable_non_forest,90.511523,24.070037,,,,
GAZ-0088,gazipur,stable_non_forest,90.400222,23.910496,,,,
GAZ-0089,gazipur,stable_non_forest,90.538203,23.932325,,,,
GAZ-0090,gazipur,stable_non_forest,90.573237,24.15897,,,,
GAZ-0091,gazipur,stable_non_forest,90.323146,24.220145,,,,
GAZ-0092,gazipur,stable_non_forest,90.600726,24.02045,,,,
GAZ-0093,gazipur,stable_non_forest,90.528771,24.109653,,,,
GAZ-0094,gazipur,stable_non_forest,90.428519,23.943375,,,,
GAZ-0095,gazipur,stable_non_forest,90.439029,24.06303,,,,
GAZ-0096,gazipur,stable_non_forest,90.638724,24.103185,,,,
GAZ-0097,gazipur,stable_non_forest,90.405881,24.271619,,,,
GAZ-0098,gazipur,stable_non_forest,90.422859,24.134985,,,,
GAZ-0099,gazipur,stable_non_forest,90.162528,24.062491,,,,
GAZ-0100,gazipur,stable_non_forest,90.334735,24.085398,,,,
GAZ-0101,gazipur,stable_non_forest,90.575393,24.099681,,,,
GAZ-0102,gazipur,stable_non_forest,90.401839,24.240088,,,,
GAZ-0103,gazipur,stable_non_forest,90.658937,24.146843,,,,
GAZ-0104,gazipur,stable_non_forest,90.445497,23.972749,,,,
GAZ-0105,gazipur,stable_non_forest,90.319373,24.182686,,,,
GAZ-0106,gazipur,stable_non_forest,90.336082,24.088902,,,,
GAZ-0107,gazipur,stable_non_forest,90.425554,23.917773,,,,
GAZ-0108,gazipur,stable_non_forest,90.629562,24.134446,,,,
GAZ-0109,gazipur,stable_non_forest,90.4013,24.078661,,,,
GAZ-0110,gazipur,stable_non_forest,90.414236,24.218798,,,,
GAZ-0111,gazipur,stable_non_forest,90.583748,24.23389,,,,
GAZ-0112,gazipur,stable_non_forest,90.617434,24.156545,,,,
GAZ-0113,gazipur,stable_non_forest,90.526076,24.173523,,,,
GAZ-0114,gazipur,stable_non_forest,90.378662,24.099681,,,,
GAZ-0115,gazipur,stable_non_forest,90.314253,24.001316,,,,
GAZ-0116,gazipur,stable_non_forest,90.527154,24.049555,,,,
GAZ-0117,gazipur,stable_non_forest,90.397527,23.886242,,,,
GAZ-0118,gazipur,stable_non_forest,90.351443,23.932056,,,,
GAZ-0119,gazipur,stable_non_forest,90.547096,24.062491,,,,
GAZ-0120,gazipur,stable_non_forest,90.414774,24.12178,,,,
GAZ-0121,gazipur,stable_non_forest,90.500743,24.045513,,,,
GAZ-0122,gazipur,stable_non_forest,90.54494,23.960353,,,,
GAZ-0123,gazipur,stable_non_forest,90.460589,24.158431,,,,
GAZ-0124,gazipur,stable_non_forest,90.211306,24.040123,,,,
GAZ-0125,gazipur,stable_non_forest,90.496162,23.99404,,,,
GAZ-0126,gazipur,stable_non_forest,90.571081,24.106958,,,,
GAZ-0127,gazipur,stable_non_forest,90.301048,24.130673,,,,
GAZ-0128,gazipur,stable_non_forest,90.589676,24.017216,,,,
GAZ-0129,gazipur,stable_non_forest,90.627406,24.162474,,,,
GAZ-0130,gazipur,stable_non_forest,90.322068,24.037698,,,,
GAZ-0131,gazipur,stable_non_forest,90.653816,24.095908,,,,
GAZ-0132,gazipur,stable_non_forest,90.461667,24.252215,,,,
GAZ-0133,gazipur,stable_non_forest,90.602343,23.978139,,,,
GAZ-0134,gazipur,stable_non_forest,90.240412,24.127978,,,,
GAZ-0135,gazipur,stable_non_forest,90.638186,24.105071,,,,
GAZ-0136,gazipur,stable_non_forest,90.53955,23.950381,,,,
GAZ-0137,gazipur,stable_non_forest,90.670794,24.196969,,,,
GAZ-0138,gazipur,stable_non_forest,90.247418,24.140375,,,,
GAZ-0139,gazipur,stable_non_forest,90.489694,24.126631,,,,
GAZ-0140,gazipur,stable_non_forest,90.66271,24.104802,,,,
GAZ-0141,gazipur,stable_non_forest,90.298353,24.240088,,,,
GAZ-0142,gazipur,stable_non_forest,90.376506,24.035003,,,,
GAZ-0143,gazipur,stable_non_forest,90.613392,24.224996,,,,
GAZ-0144,gazipur,stable_non_forest,90.482148,24.032308,,,,
GAZ-0145,gazipur,stable_non_forest,90.554912,24.001316,,,,
GAZ-0146,gazipur,stable_non_forest,90.328536,24.274314,,,,
GAZ-0147,gazipur,stable_non_forest,90.581592,24.007514,,,,
GAZ-0148,gazipur,stable_non_forest,90.253617,24.086746,,,,
GAZ-0149,gazipur,stable_non_forest,90.51853,23.910496,,,,
GAZ-0150,gazipur,stable_non_forest,90.344975,24.24979,,,,
