point_id,district,stratum,lon,lat,class_t0,class_t3,confidence,notes,kappa_subset
SYL-P0003,sylhet,plantation,91.901307,24.928647,,,,,False
SYL-P0007,sylhet,plantation,92.022579,24.971766,,,,,False
SYL-P0012,sylhet,plantation,92.016111,24.96934,,,,,False
SYL-P0013,sylhet,plantation,91.995899,24.971496,,,,,True
SYL-P0015,sylhet,plantation,92.020962,24.970957,,,,,False
SYL-P0016,sylhet,plantation,92.00075,24.975269,,,,,True
SYL-P0019,sylhet,plantation,91.906697,24.926221,,,,,True
SYL-P0020,sylhet,plantation,92.002367,24.967184,,,,,False
SYL-P0022,sylhet,plantation,91.899959,24.93215,,,,,False
SYL-P0024,sylhet,plantation,91.893761,24.927299,,,,,False
SYL-P0030,sylhet,plantation,91.989162,24.965568,,,,,False
SYL-P0032,sylhet,plantation,91.906158,24.936193,,,,,True
SYL-P0033,sylhet,plantation,91.992935,24.958561,,,,,False
SYL-P0034,sylhet,plantation,91.968411,24.975,,,,,False
SYL-P0037,sylhet,plantation,91.99536,24.962064,,,,,False
SYL-P0038,sylhet,plantation,91.859265,24.928647,,,,,True
SYL-P0039,sylhet,plantation,91.860882,24.938079,,,,,False
SYL-P0041,sylhet,plantation,91.870315,24.931342,,,,,True
SYL-P0046,sylhet,plantation,91.91559,24.931072,,,,,True
SYL-P0047,sylhet,plantation,91.887023,24.939696,,,,,True
SYL-P0048,sylhet,plantation,91.913973,24.935384,,,,,False
SYL-P0049,sylhet,plantation,91.993474,24.959369,,,,,True
SYL-P0050,sylhet,plantation,91.86762,24.934037,,,,,True
SYL-P0052,sylhet,plantation,91.992396,24.957483,,,,,True
SYL-P0054,sylhet,plantation,91.97407,24.973922,,,,,True
SYL-P0058,sylhet,plantation,92.01153,24.96449,,,,,True
SYL-P0059,sylhet,plantation,91.909122,24.931342,,,,,False
SYL-P0060,sylhet,plantation,91.988084,24.967184,,,,,True
SYL-P0063,sylhet,plantation,91.986197,24.967993,,,,,True
SYL-P0067,sylhet,plantation,92.017189,24.982007,,,,,True
SYL-P0071,sylhet,plantation,91.912895,24.938618,,,,,True
SYL-P0072,sylhet,plantation,91.968411,24.976617,,,,,True
SYL-P0076,sylhet,plantation,91.867889,24.931342,,,,,False
SYL-P0082,sylhet,plantation,92.01665,24.977695,,,,,False
SYL-P0084,sylhet,plantation,91.893491,24.923257,,,,,True
SYL-P0089,sylhet,plantation,91.85711,24.936732,,,,,False
SYL-P0093,sylhet,plantation,92.003445,24.972844,,,,,False
SYL-P0094,sylhet,plantation,91.906158,24.924604,,,,,True
SYL-P0095,sylhet,plantation,92.009643,24.967184,,,,,False
SYL-P0098,sylhet,plantation,91.897534,24.927838,,,,,False
