point_id,district,stratum,lon,lat,class_t0,class_t3,confidence,notes,kappa_subset
SYL-0003,sylhet,stable_non_forest,92.110165,25.091691,,,,,False
SYL-0007,sylhet,stable_non_forest,91.861691,25.105166,,,,,False
SYL-0013,sylhet,stable_non_forest,92.300967,25.063933,,,,,False
SYL-0018,sylhet,stable_non_forest,92.1929,24.821657,,,,,False
SYL-0019,sylhet,stable_non_forest,91.884867,25.040757,,,,,False
SYL-0020,sylhet,stable_non_forest,91.689214,24.833785,,,,,False
SYL-0022,sylhet,stable_non_forest,92.140887,24.868549,,,,,False
SYL-0030,sylhet,stable_non_forest,91.852798,24.976078,,,,,False
SYL-0032,sylhet,stable_non_forest,92.009643,25.155292,,,,,False
SYL-0034,sylhet,stable_non_forest,91.980269,25.008687,,,,,False
SYL-0037,sylhet,stable_non_forest,91.784346,24.751319,,,,,False
SYL-0038,sylhet,stable_non_forest,92.450267,24.955057,,,,,False
SYL-0041,sylhet,stable_non_forest,92.053032,24.857231,,,,,False
SYL-0042,sylhet,stable_non_forest,91.734759,24.722214,,,,,False
SYL-0046,sylhet,stable_non_forest,91.828004,25.077408,,,,,False
SYL-0048,sylhet,stable_non_forest,91.979999,24.906009,,,,,False
SYL-0049,sylhet,stable_non_forest,91.858457,24.734072,,,,,False
SYL-0050,sylhet,stable_non_forest,91.7609,24.841331,,,,,False
SYL-0052,sylhet,stable_non_forest,92.14493,25.088727,,,,,True
SYL-0053,sylhet,stable_non_forest,92.052763,25.064472,,,,,False
SYL-0054,sylhet,stable_non_forest,91.792161,24.992517,,,,,False
SYL-0055,sylhet,stable_non_forest,91.721015,24.975,,,,,True
SYL-0056,sylhet,stable_non_forest,92.195056,24.871244,,,,,False
SYL-0058,sylhet,stable_non_forest,92.064351,24.887953,,,,,False
SYL-0060,sylhet,stable_non_forest,91.844174,24.717632,,,,,False
SYL-0061,sylhet,stable_non_forest,91.843635,25.024587,,,,,False
SYL-0067,sylhet,stable_non_forest,91.746078,25.114868,,,,,False
SYL-0071,sylhet,stable_non_forest,91.845521,24.75078,,,,,False
SYL-0073,sylhet,stable_non_forest,92.252189,25.016771,,,,,True
SYL-0076,sylhet,stable_non_forest,92.140618,24.786084,,,,,False
SYL-0079,sylhet,stable_non_forest,91.813182,25.147476,,,,,False
SYL-0081,sylhet,stable_non_forest,92.260543,25.010843,,,,,False
SYL-0083,sylhet,stable_non_forest,92.115285,25.087649,,,,,False
SYL-0084,sylhet,stable_non_forest,92.045217,24.74566,,,,,False
SYL-0085,sylhet,stable_non_forest,91.951702,25.14532,,,,,False
SYL-0086,sylhet,stable_non_forest,91.927717,24.95883,,,,,True
SYL-0087,sylhet,stable_non_forest,91.69703,24.992247,,,,,False
SYL-0088,sylhet,stable_non_forest,91.907236,24.979312,,,,,False
SYL-0091,sylhet,stable_non_forest,91.753624,25.087379,,,,,False
SYL-0094,sylhet,stable_non_forest,91.928526,24.720866,,,,,False
SYL-0098,sylhet,stable_non_forest,92.182928,24.827586,,,,,False
SYL-0099,sylhet,stable_non_forest,92.002637,24.713051,,,,,True
SYL-0105,sylhet,stable_non_forest,91.737723,25.106513,,,,,False
SYL-0109,sylhet,stable_non_forest,92.174574,24.955866,,,,,False
SYL-0112,sylhet,stable_non_forest,92.323874,24.983085,,,,,False
SYL-0115,sylhet,stable_non_forest,92.025274,24.878251,,,,,False
SYL-0124,sylhet,stable_non_forest,92.092109,24.992517,,,,,False
SYL-0133,sylhet,stable_non_forest,91.911278,24.994403,,,,,False
SYL-0134,sylhet,stable_non_forest,91.670619,24.63355,,,,,False
SYL-0139,sylhet,stable_non_forest,92.064081,24.786623,,,,,False
SYL-0142,sylhet,stable_non_forest,91.782999,25.03887,,,,,False
SYL-0143,sylhet,stable_non_forest,92.296116,24.980929,,,,,True
SYL-0145,sylhet,stable_non_forest,92.078365,24.862082,,,,,False
SYL-0146,sylhet,stable_non_forest,92.21958,24.965837,,,,,False
SYL-0153,sylhet,stable_forest,91.768176,24.781233,,,,,False
SYL-0157,sylhet,stable_forest,91.962751,24.654301,,,,,False
SYL-0163,sylhet,stable_forest,91.712121,24.722214,,,,,False
SYL-0168,sylhet,stable_forest,92.427899,24.887953,,,,,False
SYL-0169,sylhet,stable_forest,92.149511,25.093308,,,,,False
SYL-0170,sylhet,stable_forest,91.957362,24.978773,,,,,False
SYL-0172,sylhet,stable_forest,92.399333,25.029977,,,,,False
SYL-0180,sylhet,stable_forest,92.194247,25.059082,,,,,False
SYL-0182,sylhet,stable_forest,92.279408,24.917328,,,,,False
SYL-0184,sylhet,stable_forest,92.148164,24.908704,,,,,False
SYL-0187,sylhet,stable_forest,92.149781,24.804949,,,,,False
SYL-0188,sylhet,stable_forest,92.185893,25.081989,,,,,False
SYL-0191,sylhet,stable_forest,92.151667,24.812495,,,,,False
SYL-0192,sylhet,stable_forest,91.96329,24.655379,,,,,False
SYL-0196,sylhet,stable_forest,92.291535,25.024856,,,,,False
SYL-0198,sylhet,stable_forest,91.842287,25.061238,,,,,False
SYL-0199,sylhet,stable_forest,92.121214,24.850493,,,,,False
SYL-0200,sylhet,stable_forest,92.18751,25.093577,,,,,False
SYL-0202,sylhet,stable_forest,92.144121,25.121605,,,,,True
SYL-0203,sylhet,stable_forest,92.163255,25.084954,,,,,False
SYL-0204,sylhet,stable_forest,91.830969,24.875826,,,,,False
SYL-0205,sylhet,stable_forest,91.889718,24.93215,,,,,True
SYL-0206,sylhet,stable_forest,92.157326,24.787162,,,,,False
SYL-0208,sylhet,stable_forest,92.138192,25.136697,,,,,False
SYL-0210,sylhet,stable_forest,92.371575,24.877982,,,,,False
SYL-0211,sylhet,stable_forest,91.790005,24.883102,,,,,False
SYL-0217,sylhet,stable_forest,91.86196,24.940235,,,,,False
SYL-0221,sylhet,stable_forest,92.13388,24.917867,,,,,False
SYL-0223,sylhet,stable_forest,91.905888,24.940235,,,,,True
SYL-0226,sylhet,stable_forest,92.161099,24.830012,,,,,False
SYL-0229,sylhet,stable_forest,91.824231,24.784737,,,,,False
SYL-0231,sylhet,stable_forest,92.148433,24.914094,,,,,False
SYL-0233,sylhet,stable_forest,92.395021,24.986049,,,,,False
SYL-0234,sylhet,stable_forest,91.709696,24.678017,,,,,False
SYL-0235,sylhet,stable_forest,91.978652,24.949128,,,,,False
SYL-0236,sylhet,stable_forest,91.991587,24.963412,,,,,True
SYL-0237,sylhet,stable_forest,91.94766,24.689066,,,,,False
SYL-0238,sylhet,stable_forest,92.165681,24.805757,,,,,False
SYL-0241,sylhet,stable_forest,92.188318,25.075252,,,,,False
