review_order,candidate_id,upazila,expected_in_upazila,area_ha,is_tea,estate_name,notes
1,TEA-C000,Sylhet Sadar,8,245.7,,,
2,TEA-C001,Sylhet Sadar,8,231.8,,,
3,TEA-C002,Sylhet Sadar,8,213.4,,,
4,TEA-C003,Sylhet Sadar,8,180.4,,,
5,TEA-C004,Sylhet Sadar,8,158.8,,,
6,TEA-C005,Sylhet Sadar,8,143.0,,,
7,TEA-C006,Sylhet Sadar,8,124.1,,,
8,TEA-C007,Sylhet Sadar,8,123.5,,,
9,TEA-C008,Sylhet Sadar,8,122.4,,,
10,TEA-C009,Sylhet Sadar,8,105.5,,,
11,TEA-C010,Gowainghat,4,1269.0,,,
12,TEA-C011,Gowainghat,4,524.5,,,
13,TEA-C012,Gowainghat,4,476.0,,,
14,TEA-C013,Gowainghat,4,338.3,,,
15,TEA-C014,Gowainghat,4,285.7,,,
16,TEA-C015,Gowainghat,4,282.1,,,
17,TEA-C016,Gowainghat,4,257.8,,,
18,TEA-C017,Gowainghat,4,224.2,,,
19,TEA-C018,Gowainghat,4,217.9,,,
20,TEA-C019,Gowainghat,4,189.9,,,
21,TEA-C020,Gowainghat,4,172.0,,,
22,TEA-C021,Gowainghat,4,135.6,,,
23,TEA-C022,Gowainghat,4,130.8,,,
24,TEA-C023,Gowainghat,4,114.8,,,
25,TEA-C024,Gowainghat,4,112.6,,,
26,TEA-C025,Gowainghat,4,110.3,,,
27,TEA-C026,Gowainghat,4,100.6,,,
28,TEA-C027,Jaintiapur,3,976.6,,,
29,TEA-C028,Fenchuganj,3,459.5,,,
30,TEA-C029,Jaintiapur,3,281.0,,,
31,TEA-C030,Fenchuganj,3,166.9,,,
32,TEA-C031,Jaintiapur,3,109.0,,,
33,TEA-C032,Kanaighat,1,1342.9,,,
34,TEA-C033,Kanaighat,1,1032.7,,,
35,TEA-C034,Kanaighat,1,906.2,,,
36,TEA-C035,Kanaighat,1,444.0,,,
37,TEA-C036,Kanaighat,1,281.7,,,
38,TEA-C037,Kanaighat,1,275.6,,,
39,TEA-C038,Kanaighat,1,260.9,,,
40,TEA-C039,Kanaighat,1,253.2,,,
41,TEA-C040,Kanaighat,1,245.0,,,
42,TEA-C041,Kanaighat,1,237.6,,,
43,TEA-C042,Kanaighat,1,176.6,,,
44,TEA-C043,Kanaighat,1,153.0,,,
45,TEA-C044,Kanaighat,1,118.1,,,
46,TEA-C045,Kanaighat,1,116.3,,,
47,TEA-C046,Kanaighat,1,110.0,,,
48,TEA-C047,Kanaighat,1,101.0,,,
49,TEA-C048,Balaganj,0,1560.2,,,
50,TEA-C049,Balaganj,0,861.1,,,
51,TEA-C050,Balaganj,0,608.9,,,
52,TEA-C051,Balaganj,0,405.1,,,
53,TEA-C052,Balaganj,0,360.5,,,
54,TEA-C053,Balaganj,0,290.1,,,
55,TEA-C054,Companiganj,0,277.9,,,
56,TEA-C055,Balaganj,0,252.4,,,
57,TEA-C056,Balaganj,0,221.6,,,
58,TEA-C057,Balaganj,0,204.8,,,
59,TEA-C058,Balaganj,0,198.2,,,
60,TEA-C059,Balaganj,0,188.7,,,
61,TEA-C060,Balaganj,0,185.3,,,
62,TEA-C061,Balaganj,0,163.4,,,
63,TEA-C062,Balaganj,0,153.2,,,
64,TEA-C063,Companiganj,0,127.2,,,
65,TEA-C064,Balaganj,0,124.4,,,
66,TEA-C065,Companiganj,0,123.7,,,
67,TEA-C066,Companiganj,0,115.8,,,
68,TEA-C067,Companiganj,0,114.9,,,
69,TEA-C068,Companiganj,0,106.7,,,
70,TEA-C069,Balaganj,0,105.7,,,
71,TEA-C070,Companiganj,0,101.2,,,
