review_order,candidate_id,upazila,expected_in_upazila,area_ha,built_frac,tree_frac,is_tea,estate_name,notes
1,TEA-C000,Gowainghat,4,345.6,0.005,0.93,,,
2,TEA-C001,Gowainghat,4,278.7,0.001,0.974,,,
3,TEA-C002,Gowainghat,4,269.1,0.004,0.937,,,
4,TEA-C003,Gowainghat,4,267.9,0.001,0.942,,,
5,TEA-C004,Gowainghat,4,193.5,0.0,0.943,,,
6,TEA-C005,Gowainghat,4,187.2,0.003,0.933,,,
7,TEA-C006,Gowainghat,4,161.8,0.005,0.963,,,
8,TEA-C007,Gowainghat,4,157.0,0.005,0.954,,,
9,TEA-C008,Gowainghat,4,148.5,0.005,0.947,,,
10,TEA-C009,Gowainghat,4,141.7,0.011,0.927,,,
11,TEA-C010,Gowainghat,4,115.0,0.036,0.926,,,
12,TEA-C011,Jaintiapur,3,3100.1,0.002,0.97,,,
13,TEA-C012,Jaintiapur,3,1040.9,0.0,0.981,,,
14,TEA-C013,Jaintiapur,3,1031.0,0.0,0.954,,,
15,TEA-C014,Jaintiapur,3,552.9,0.0,0.937,,,
16,TEA-C015,Jaintiapur,3,309.3,0.001,0.963,,,
17,TEA-C016,Jaintiapur,3,303.0,0.009,0.955,,,
18,TEA-C017,Jaintiapur,3,214.8,0.004,0.953,,,
19,TEA-C018,Jaintiapur,3,182.3,0.008,0.935,,,
20,TEA-C019,Jaintiapur,3,133.1,0.001,0.961,,,
21,TEA-C020,Jaintiapur,3,131.2,0.001,0.921,,,
22,TEA-C021,Jaintiapur,3,122.4,0.017,0.935,,,
