estate_name,address,upazila,digitised,confidence,notes
Burjan,"Khadimnagar, N.Sylhet",Sylhet Sadar,,,
Afifanagar,"Jaintiapur, N.Sylhet",Jaintiapur,,,
Alibahar,"Akhalia, N.Sylhet",Sylhet Sadar,,,
Daddnagar,"Tilagar, N.Sylhet",Sylhet Sadar,,,
Dalia,"Lakhaura, N.Sylhet",Sylhet Sadar,,,
Dallucherra,"Fenchuganj, Lungla",Fenchuganj,,,
Fatehpur,"Baranagar, Goainghat, N.Sylhet",Gowainghat,,,
Habibnagar,"Chiknagool, Goainghat, N.Sylhet",Gowainghat,,,
Jafflong,"Jafflong, Goainghat, N.Sylhet",Gowainghat,,,
Khadim,"Khadimnagar, N.Sylhet",Sylhet Sadar,,,
Khan,"Chiknagool, Goainghat, N.Sylhet",Gowainghat,,,
Lackatoorah,"Sylhet, N.Sylhet",Sylhet Sadar,,,
Lallakhal,"Jaintiapur, N.Sylhet",Jaintiapur,,,
Loobacherra,"Kanaighat, N.Sylhet",Kanaighat,,,
Malnicherra,"Sylhet, N.Sylhet",Sylhet Sadar,,,
Monipur,"Fenchuganj, Lungla",Fenchuganj,,,
Moomincherra,"Bhatera, Fenchuganj, Lungla",Fenchuganj,,,
Sreepore,"Jaintiapur, N.Sylhet",Jaintiapur,,,
Star,"Sylhet, N.Sylhet",Sylhet Sadar,,,
