year,permanent_conversion_ha,cyclical_disturbance_ha,undetermined_ha
1988,0.0,0.0,0.0
1989,39.0,96.4,0.0
1990,54.9,159.9,0.0
1991,279.0,515.3,0.0
1992,180.0,159.9,0.0
1993,704.2,848.3,0.0
1994,124.8,143.3,0.0
1995,527.0,828.0,0.0
1996,842.3,2767.6,0.0
1997,489.7,1124.6,0.0
1998,2169.2,3753.2,0.0
1999,518.2,837.0,0.0
2000,261.2,373.8,0.0
2001,352.6,772.3,0.0
2002,1214.0,3159.9,0.0
2003,181.5,389.9,0.0
2004,319.2,1225.6,0.0
2005,417.5,1803.1,0.0
2006,1048.6,7768.2,0.0
2007,400.6,2680.5,0.0
2008,586.2,6004.0,0.0
2009,317.0,1516.0,0.0
2010,420.8,2819.4,0.0
2011,359.8,1644.7,0.0
2012,572.3,2418.6,0.0
2013,915.4,6244.0,0.0
2014,216.9,1104.9,0.0
2015,285.3,1653.6,0.0
2016,207.0,745.7,0.0
2017,243.3,1468.5,0.0
2018,209.0,1208.3,0.0
2019,0.0,0.0,1915.7
2020,0.0,0.0,3260.7
2021,0.0,0.0,650.3
2022,0.0,0.0,488.5
2023,0.0,0.0,1.4
2024,0.0,0.0,11114.1
