year,gazipur_permanent_conversion_ha,gazipur_cyclical_disturbance_ha,gazipur_undetermined_ha,sylhet_permanent_conversion_ha,sylhet_cyclical_disturbance_ha,sylhet_undetermined_ha,bandarban_permanent_conversion_ha,bandarban_cyclical_disturbance_ha,bandarban_undetermined_ha
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,193.578,852.164,0.0,163.839,314.755,0.0,39.0,96.4,0.0
1990,183.985,370.914,0.0,124.382,155.189,0.0,54.9,159.9,0.0
1991,195.883,631.433,0.0,580.482,673.936,0.0,279.0,515.3,0.0
1992,103.126,242.088,0.0,169.465,163.72,0.0,180.0,159.9,0.0
1993,129.815,370.966,0.0,645.297,413.696,0.0,704.2,848.3,0.0
1994,146.175,419.335,0.0,686.112,722.847,0.0,124.8,143.3,0.0
1995,236.068,925.623,0.0,1229.401,826.617,0.0,527.0,828.0,0.0
1996,78.415,179.191,0.0,1094.544,1122.787,0.0,842.3,2767.6,0.0
1997,174.046,418.934,0.0,906.125,954.211,0.0,489.7,1124.6,0.0
1998,748.774,5563.053,0.0,354.943,276.105,0.0,2169.2,3753.2,0.0
1999,415.226,1913.777,0.0,4769.667,3651.3,0.0,518.2,837.0,0.0
2000,157.675,397.16,0.0,350.669,400.387,0.0,261.2,373.8,0.0
2001,99.775,264.778,0.0,272.421,325.443,0.0,352.6,772.3,0.0
2002,115.77,351.163,0.0,314.936,548.064,0.0,1214.0,3159.9,0.0
2003,97.361,227.471,0.0,237.7,354.372,0.0,181.5,389.9,0.0
2004,102.529,176.411,0.0,274.845,460.791,0.0,319.2,1225.6,0.0
2005,126.633,227.732,0.0,324.017,561.386,0.0,417.5,1803.1,0.0
2006,138.285,265.953,0.0,406.396,738.489,0.0,1048.6,7768.2,0.0
2007,126.941,239.067,0.0,956.249,1681.134,0.0,400.6,2680.5,0.0
2008,86.9,117.645,0.0,330.889,357.541,0.0,586.2,6004.0,0.0
2009,142.793,185.75,0.0,208.581,308.912,0.0,317.0,1516.0,0.0
2010,201.04,549.609,0.0,383.086,709.037,0.0,420.8,2819.4,0.0
2011,123.787,126.734,0.0,210.992,362.412,0.0,359.8,1644.7,0.0
2012,257.997,542.901,0.0,340.924,527.803,0.0,572.3,2418.6,0.0
2013,195.231,409.957,0.0,578.232,1269.307,0.0,915.4,6244.0,0.0
2014,258.061,312.231,0.0,181.763,338.211,0.0,216.9,1104.9,0.0
2015,165.993,220.686,0.0,304.975,511.444,0.0,285.3,1653.6,0.0
2016,244.69,458.831,0.0,200.162,267.485,0.0,207.0,745.7,0.0
2017,272.627,275.538,0.0,219.766,317.903,0.0,243.3,1468.5,0.0
2018,216.17,173.63,0.0,188.666,220.568,0.0,209.0,1208.3,0.0
2019,0.0,0.0,737.107,0.0,0.0,783.084,0.0,0.0,1915.7
2020,0.0,0.0,676.805,0.0,0.0,1059.805,0.0,0.0,3260.7
2021,0.0,0.0,300.706,0.0,0.0,528.447,0.0,0.0,650.3
2022,0.0,0.0,158.202,0.0,0.0,132.824,0.0,0.0,488.5
2023,0.0,0.0,7.938,0.0,0.0,2.517,0.0,0.0,1.4
2024,0.0,0.0,8195.816,0.0,0.0,10360.039,0.0,0.0,11114.1
