year,permanent_conversion_ha,cyclical_disturbance_ha,undetermined_ha
1988,0.0,0.0,0.0
1989,193.578,852.164,0.0
1990,183.985,370.914,0.0
1991,195.883,631.433,0.0
1992,103.126,242.088,0.0
1993,129.815,370.966,0.0
1994,146.175,419.335,0.0
1995,236.068,925.623,0.0
1996,78.415,179.191,0.0
1997,174.046,418.934,0.0
1998,748.774,5563.053,0.0
1999,415.226,1913.777,0.0
2000,157.675,397.16,0.0
2001,99.775,264.778,0.0
2002,115.77,351.163,0.0
2003,97.361,227.471,0.0
2004,102.529,176.411,0.0
2005,126.633,227.732,0.0
2006,138.285,265.953,0.0
2007,126.941,239.067,0.0
2008,86.9,117.645,0.0
2009,142.793,185.75,0.0
2010,201.04,549.609,0.0
2011,123.787,126.734,0.0
2012,257.997,542.901,0.0
2013,195.231,409.957,0.0
2014,258.061,312.231,0.0
2015,165.993,220.686,0.0
2016,244.69,458.831,0.0
2017,272.627,275.538,0.0
2018,216.17,173.63,0.0
2019,0.0,0.0,737.107
2020,0.0,0.0,676.805
2021,0.0,0.0,300.706
2022,0.0,0.0,158.202
2023,0.0,0.0,7.938
2024,0.0,0.0,8195.816
