year,permanent_conversion_ha,cyclical_disturbance_ha,undetermined_ha
1988,0.0,0.0,0.0
1989,163.839,314.755,0.0
1990,124.382,155.189,0.0
1991,580.482,673.936,0.0
1992,169.465,163.72,0.0
1993,645.297,413.696,0.0
1994,686.112,722.847,0.0
1995,1229.401,826.617,0.0
1996,1094.544,1122.787,0.0
1997,906.125,954.211,0.0
1998,354.943,276.105,0.0
1999,4769.667,3651.3,0.0
2000,350.669,400.387,0.0
2001,272.421,325.443,0.0
2002,314.936,548.064,0.0
2003,237.7,354.372,0.0
2004,274.845,460.791,0.0
2005,324.017,561.386,0.0
2006,406.396,738.489,0.0
2007,956.249,1681.134,0.0
2008,330.889,357.541,0.0
2009,208.581,308.912,0.0
2010,383.086,709.037,0.0
2011,210.992,362.412,0.0
2012,340.924,527.803,0.0
2013,578.232,1269.307,0.0
2014,181.763,338.211,0.0
2015,304.975,511.444,0.0
2016,200.162,267.485,0.0
2017,219.766,317.903,0.0
2018,188.666,220.568,0.0
2019,0.0,0.0,783.084
2020,0.0,0.0,1059.805
2021,0.0,0.0,528.447
2022,0.0,0.0,132.824
2023,0.0,0.0,2.517
2024,0.0,0.0,10360.039
