district,year,band,mean,std,n_pixels,n_patches
gazipur,2024,blue,0.03579750921393917,0.012096760978964281,874922,55
gazipur,2024,green,0.06089405378000371,0.014127399955001575,874922,55
gazipur,2024,red,0.052518819236939955,0.01896467285318769,874922,55
gazipur,2024,nir,0.22095360962041088,0.046472476226340674,874922,55
gazipur,2024,swir1,0.13333760229396288,0.04372447251609403,874922,55
gazipur,2024,swir2,0.07113380190112144,0.03471285797620181,874922,55
gazipur,2024,thermal,301.7440888266814,1.556031256242826,874922,55
gazipur,2024,ndvi,0.606561321732089,0.13984356450956203,874922,55
gazipur,2024,evi,0.3304057131880029,0.09241137386659709,874922,55
gazipur,2024,savi,0.32305597264119534,0.08612512124282334,874922,55
gazipur,2024,ndwi,-0.5537583246706707,0.13412858842107317,874922,55
gazipur,2024,ndmi,0.2631468602664451,0.11184109668157287,874922,55
gazipur,2024,ndbi,-0.2631468602664451,0.11184109668157287,874922,55
gazipur,2024,nbr,0.529863989404326,0.13933225844520328,874922,55
gazipur,2024,brightness,0.24627192011436846,0.052722558762001395,874922,55
gazipur,2024,greenness,0.11621091917990924,0.0386151873552227,874922,55
gazipur,2024,wetness,-0.06916989639069746,0.040345445329726434,874922,55
gazipur,2024,glcm_contrast,100655.65180657725,96495.30456822301,874922,55
gazipur,2024,glcm_entropy,3.5666300906850976,0.043040440336555845,874922,55
gazipur,2024,glcm_homogeneity,0.010182252049418054,0.016822693003083443,874922,55
gazipur,2024,elevation,14.134724009683149,4.793091054795037,874922,55
gazipur,2024,slope,2.430078338411881,1.6132232036094163,874922,55
gazipur,2024,aspect,156.21705820633153,106.24063887186475,874922,55
sylhet,2024,blue,0.04482152992547316,0.013242390593741587,2696083,167
sylhet,2024,green,0.07529222877017515,0.017604157716700465,2696083,167
sylhet,2024,red,0.07106175788590868,0.02527592089262283,2696083,167
sylhet,2024,nir,0.22527069255538432,0.06356049430404537,2696083,167
sylhet,2024,swir1,0.15942860730827071,0.0694335164177097,2696083,167
sylhet,2024,swir2,0.0936173010962169,0.04890891616997258,2696083,167
sylhet,2024,thermal,301.05000206081036,1.3996606330648376,2696083,167
sylhet,2024,ndvi,0.5033614897524146,0.17976250617001646,2696083,167
sylhet,2024,evi,0.2902606995016714,0.11746162232357668,2696083,167
sylhet,2024,savi,0.28403016521802626,0.10904234804474325,2696083,167
sylhet,2024,ndwi,-0.4740259901903655,0.17142911918592263,2696083,167
sylhet,2024,ndmi,0.2075092013625026,0.1452836986875766,2696083,167
sylhet,2024,ndbi,-0.2075092013625026,0.1452836986875766,2696083,167
sylhet,2024,nbr,0.4479994137214855,0.15796382576057663,2696083,167
sylhet,2024,brightness,0.28025385505819883,0.0787549708136489,2696083,167
sylhet,2024,greenness,0.10176400149731431,0.04733540879618968,2696083,167
sylhet,2024,wetness,-0.09107134998898454,0.06182058369737411,2696083,167
sylhet,2024,glcm_contrast,113523.10565417279,120184.25336954642,2696083,167
sylhet,2024,glcm_entropy,3.5691606991051397,0.044411243386297185,2696083,167
sylhet,2024,glcm_homogeneity,0.009488736977433694,0.0181942577098924,2696083,167
sylhet,2024,elevation,15.348007090286167,5.972270859464274,2696083,167
sylhet,2024,slope,2.557326684675509,2.041233758297051,2696083,167
sylhet,2024,aspect,156.07331636303482,107.86344033856977,2696083,167
bandarban,2024,blue,0.02152216234330896,0.006807368863681365,4188726,260
bandarban,2024,green,0.04688271402256258,0.011064747557337908,4188726,260
bandarban,2024,red,0.03259508377974952,0.012663443005538512,4188726,260
bandarban,2024,nir,0.27212007112895137,0.05763082878541272,4188726,260
bandarban,2024,swir1,0.15693527086700193,0.03992304617049434,4188726,260
bandarban,2024,swir2,0.07195383639089875,0.02381517973568682,4188726,260
bandarban,2024,thermal,299.72923679667065,1.9554639799878184,4188726,260
bandarban,2024,ndvi,0.7855573661885051,0.07310141753587994,4188726,260
bandarban,2024,evi,0.45555215619358996,0.08801348048603502,4188726,260
bandarban,2024,savi,0.4418124288699413,0.07217405508330407,4188726,260
bandarban,2024,ndwi,-0.7033718686961205,0.05742478303636524,4188726,260
bandarban,2024,ndmi,0.27333360043197397,0.07289905148602609,4188726,260
bandarban,2024,ndbi,-0.27333360043197397,0.07289905148602609,4188726,260
bandarban,2024,nbr,0.5864674502229846,0.08516082977114905,4188726,260
bandarban,2024,brightness,0.26352078799241024,0.056374576712648256,4188726,260
bandarban,2024,greenness,0.17276228446420872,0.04152330248752197,4188726,260
bandarban,2024,wetness,-0.08706209188170777,0.029682917199056226,4188726,260
bandarban,2024,glcm_contrast,187402.96313942326,128647.7058583137,4188726,260
bandarban,2024,glcm_entropy,3.5744271342813785,0.026130340723103874,4188726,260
bandarban,2024,glcm_homogeneity,0.0037484249986190323,0.005497830033666044,4188726,260
bandarban,2024,elevation,191.68420039888022,163.14374897027744,4188726,260
bandarban,2024,slope,14.805627534481845,9.026918196349671,4188726,260
bandarban,2024,aspect,184.76127443045928,101.23824360252134,4188726,260
