candidate_id,lon,lat,row_score,wavelength_m,tile_std
TEA-C000,91.940154,24.945815,4.02,1.49,34.7
TEA-C000,91.857874,24.93217,4.14,1.42,27.1
TEA-C000,91.867667,24.942708,3.6,1.41,26.4
TEA-C000,91.953921,24.965893,4.76,1.42,16.6
TEA-C000,91.892345,24.932113,4.62,1.25,25.0
TEA-C000,91.87957,24.919694,3.45,1.37,26.7
TEA-C000,91.98511,24.952374,4.88,1.49,30.2
TEA-C000,91.938656,24.940697,4.28,1.44,32.7
TEA-C000,91.919808,24.924554,3.77,1.41,29.2
TEA-C000,91.88839,24.930978,4.74,1.48,25.9
TEA-C000,91.902097,24.921431,5.73,1.36,25.2
TEA-C000,91.871553,24.951082,4.42,1.3,24.2
TEA-C000,91.850157,24.932809,3.94,1.38,30.4
TEA-C000,91.872896,24.925572,4.41,1.44,39.5
TEA-C000,91.944345,24.961773,4.89,1.44,18.8
TEA-C000,91.900414,24.952475,3.34,1.26,24.6
TEA-C000,91.901641,24.947856,4.15,1.12,26.9
TEA-C000,91.961331,24.936859,3.73,1.2,38.5
TEA-C000,91.852131,24.922664,4.12,1.31,28.9
TEA-C000,91.879358,24.914306,5.23,1.12,24.6
TEA-C000,91.944934,24.936781,4.98,1.35,28.3
TEA-C000,91.88415,24.926816,3.92,1.46,25.4
TEA-C000,91.878352,24.921629,3.69,1.44,29.5
TEA-C000,91.936431,24.928722,4.35,1.49,36.6
TEA-C000,91.845226,24.943221,4.07,1.21,37.0
TEA-C000,91.887903,24.937293,3.8,1.48,27.9
TEA-C000,91.920686,24.959796,4.98,1.34,11.0
TEA-C000,91.887452,24.921874,4.5,1.24,25.5
TEA-C000,91.860954,24.925348,3.74,1.46,43.6
TEA-C000,91.904917,24.933816,5.05,1.42,30.8
TEA-C000,91.876893,24.940271,3.73,1.28,25.6
TEA-C000,91.91335,24.950547,3.77,1.41,30.4
TEA-C000,91.935182,24.942307,3.46,1.49,36.0
TEA-C000,91.904143,24.928979,5.23,1.48,28.1
TEA-C000,91.877063,24.938526,3.66,1.49,29.9
TEA-C000,91.980575,24.961813,3.62,1.41,9.9
TEA-C000,91.916651,24.925091,3.92,1.41,32.8
TEA-C000,91.931513,24.954785,4.04,1.12,28.6
TEA-C000,91.878355,24.949533,3.28,1.27,17.4
TEA-C000,91.983681,24.960518,4.22,1.45,13.9
TEA-C000,91.981864,24.958275,4.16,1.47,9.2
TEA-C000,91.912128,24.934292,4.08,1.38,34.4
TEA-C000,91.941739,24.936016,4.62,1.49,24.8
TEA-C000,91.925362,24.921817,3.77,1.36,27.7
TEA-C000,91.906466,24.929644,4.19,1.39,26.5
TEA-C000,91.952131,24.929792,4.04,1.25,50.3
TEA-C000,91.915537,24.954741,3.54,1.07,31.8
TEA-C000,91.851432,24.930495,3.68,1.31,37.6
TEA-C000,91.893492,24.930303,4.28,1.42,21.2
TEA-C000,91.915,24.925871,5.02,1.42,28.6
TEA-C000,91.889489,24.943721,3.47,1.42,34.3
TEA-C000,91.943149,24.94533,4.81,1.15,29.5
TEA-C000,91.912365,24.938106,3.51,1.32,20.1
TEA-C000,91.935147,24.957224,3.92,1.15,9.5
TEA-C000,91.917385,24.914318,4.59,1.5,25.6
TEA-C000,91.919318,24.961487,3.94,1.46,14.7
TEA-C000,91.93661,24.943842,4.67,1.47,23.0
TEA-C000,91.899475,24.948132,4.26,1.29,21.8
TEA-C000,91.867227,24.946913,3.74,1.36,29.0
TEA-C000,91.977444,24.950023,3.89,1.32,27.4
TEA-C000,91.974104,24.946349,4.61,1.28,23.9
TEA-C000,91.968535,24.950885,4.18,1.33,31.2
TEA-C000,91.946568,24.939716,5.51,1.17,33.2
TEA-C000,91.923246,24.962238,4.89,1.49,8.6
TEA-C000,91.878411,24.937625,3.79,1.48,31.3
TEA-C000,91.938775,24.924006,4.13,1.44,31.2
TEA-C000,91.848259,24.943182,3.44,1.42,38.8
TEA-C000,91.858588,24.935342,4.02,1.25,26.9
TEA-C000,91.921455,24.955212,4.68,1.4,27.3
TEA-C000,91.966874,24.933875,4.16,1.31,38.6
TEA-C000,91.908372,24.938893,4.26,1.11,29.8
TEA-C000,91.885086,24.929037,4.26,1.48,25.4
TEA-C000,91.906494,24.956276,4.54,1.35,9.0
TEA-C000,91.915628,24.933481,3.99,1.18,36.8
TEA-C000,91.921008,24.96542,3.97,1.41,14.1
TEA-C000,91.914649,24.928426,4.4,1.02,26.8
TEA-C000,91.883403,24.910386,4.75,1.02,23.0
TEA-C000,91.925647,24.925764,4.65,1.42,30.3
TEA-C000,91.916105,24.923992,3.84,1.36,21.9
TEA-C000,91.902004,24.94268,3.62,1.47,31.0
TEA-C000,91.932957,24.935571,5.52,1.22,39.0
TEA-C000,91.930706,24.962566,4.4,1.44,12.1
TEA-C000,91.936988,24.930191,3.49,1.31,35.7
TEA-C000,91.841259,24.942743,4.18,1.1,48.5
TEA-C000,91.904781,24.936543,4.74,1.09,33.1
TEA-C000,91.929325,24.935164,4.58,1.48,23.7
TEA-C000,91.92379,24.948563,4.27,1.15,27.6
TEA-C000,91.9445,24.965643,4.4,1.49,19.1
TEA-C000,91.920492,24.96329,4.73,1.35,10.0
TEA-C000,91.888911,24.922473,4.15,1.46,34.6
TEA-C000,91.967365,24.934296,4.43,1.44,44.7
TEA-C000,91.87564,24.931636,4.44,1.33,33.5
TEA-C000,91.851993,24.914715,3.98,1.21,33.0
TEA-C000,91.873558,24.942357,3.71,1.47,24.0
TEA-C000,91.878665,24.942753,3.56,1.23,25.1
TEA-C000,91.896458,24.937466,4.05,1.37,31.4
TEA-C000,91.937775,24.932988,4.5,1.09,35.5
TEA-C000,91.910706,24.937832,3.95,1.42,26.8
TEA-C000,91.888287,24.914821,3.58,1.23,32.6
TEA-C000,91.848043,24.928484,5.7,1.48,43.0
TEA-C000,91.947276,24.965376,4.0,1.44,24.4
TEA-C000,91.856469,24.919309,4.02,1.48,29.9
TEA-C000,91.846132,24.924015,3.87,1.43,29.8
TEA-C000,91.915356,24.92684,4.34,1.36,31.0
TEA-C000,91.91752,24.913999,4.59,1.5,25.6
TEA-C000,91.862564,24.935299,3.49,1.36,28.6
TEA-C000,91.935646,24.964073,4.12,1.5,14.0
TEA-C000,91.874753,24.938672,4.01,1.35,32.6
TEA-C000,91.939087,24.962602,4.45,1.49,12.9
TEA-C000,91.899236,24.92147,3.44,1.41,42.3
TEA-C000,91.88614,24.9253,4.49,1.27,36.0
TEA-C000,91.913401,24.951723,3.63,1.22,29.0
TEA-C000,91.866283,24.927219,4.86,1.41,33.8
TEA-C000,91.940976,24.929785,3.5,1.37,27.1
TEA-C000,91.935915,24.940631,4.97,1.47,29.5
TEA-C000,91.931686,24.923809,5.51,1.39,27.2
TEA-C000,91.878468,24.92456,3.6,1.45,36.0
