year,season_start,season_end,l4,l5,l7,l7_slc_off,l8,l9,total_scenes,path_rows,mean_cloud,obs_per_pixel,pct_covered,district,verdict,usable
1985,1984-11-01,1985-03-31,0,0,0,0,0,0,0,0,,0.0,0.0,gazipur,unusable — no scenes,False
1986,1985-11-01,1986-03-31,0,0,0,0,0,0,0,0,,0.0,0.0,gazipur,unusable — no scenes,False
1987,1986-11-01,1987-03-31,0,0,0,0,0,0,0,0,,0.0,0.0,gazipur,unusable — no scenes,False
1988,1987-11-01,1988-03-31,0,6,0,0,0,0,6,2,6.666666666666667,2.9682736202119124,100.0,gazipur,annual,True
1989,1988-11-01,1989-03-31,6,11,0,0,0,0,17,2,3.176470588235294,8.580517660814502,100.0,gazipur,annual,True
1990,1989-11-01,1990-03-31,0,11,0,0,0,0,11,2,6.727272727272728,5.879589335270776,100.0,gazipur,annual,True
1991,1990-11-01,1991-03-31,0,9,0,0,0,0,9,2,8.555555555555555,3.95115452899376,100.0,gazipur,annual,True
1992,1991-11-01,1992-03-31,0,12,0,0,0,0,12,2,1.75,6.434894534296265,100.0,gazipur,annual,True
1993,1992-11-01,1993-03-31,0,11,0,0,0,0,11,2,3.909090909090909,6.060082742980288,100.0,gazipur,annual,True
1994,1993-11-01,1994-03-31,0,10,0,0,0,0,10,2,4.2,5.388749913066579,100.0,gazipur,annual,True
1995,1994-11-01,1995-03-31,0,15,0,0,0,0,15,2,6.733333333333333,7.6218220754091615,100.0,gazipur,annual,True
1996,1995-11-01,1996-03-31,0,7,0,0,0,0,7,2,12.714285714285714,3.0496814441153064,100.0,gazipur,annual,True
1997,1996-11-01,1997-03-31,0,10,0,0,0,0,10,2,6.2,5.277652158226281,100.0,gazipur,annual,True
1998,1997-11-01,1998-03-31,0,10,0,0,0,0,10,2,11.7,3.338174422541344,100.0,gazipur,annual,True
1999,1998-11-01,1999-03-31,0,10,0,0,0,0,10,2,3.0,5.08176791367166,100.0,gazipur,annual,True
