review_order,candidate_id,upazila,expected_in_upazila,area_ha,built_frac,tree_frac,is_tea,estate_name,notes,cv_row_score,cv_verdict,cv_notes
1,TEA-C000,Sylhet Sadar,8,6620.0,0.002,0.987,,,,,no_image,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2,TEA-C001,Gowainghat,4,247.2,0.0,0.989,,,,0.313,uncertain -- needs visual check,"fft=0.63, hough=0.00, zoom=18"
3,TEA-C002,Gowainghat,4,141.7,0.002,0.969,,,,0.139,likely not tea (no regular pattern),"fft=0.28, hough=0.00, zoom=18"
4,TEA-C003,Gowainghat,4,134.1,0.002,0.975,,,,0.2,likely not tea (no regular pattern),"fft=0.40, hough=0.00, zoom=18"
5,TEA-C004,Gowainghat,4,117.0,0.0,0.962,,,,0.117,likely not tea (no regular pattern),"fft=0.23, hough=0.00, zoom=18"
6,TEA-C005,Fenchuganj,3,1686.1,0.001,0.98,,,,0.182,likely not tea (no regular pattern),"fft=0.36, hough=0.00, zoom=18"
7,TEA-C006,Jaintiapur,3,634.8,0.0,0.976,,,,0.147,likely not tea (no regular pattern),"fft=0.29, hough=0.00, zoom=18"
8,TEA-C007,Jaintiapur,3,246.5,0.0,0.981,,,,0.157,likely not tea (no regular pattern),"fft=0.31, hough=0.00, zoom=18"
9,TEA-C008,Jaintiapur,3,218.2,0.0,0.99,,,,0.143,likely not tea (no regular pattern),"fft=0.29, hough=0.00, zoom=18"
10,TEA-C009,Jaintiapur,3,196.0,0.004,0.979,,,,0.164,likely not tea (no regular pattern),"fft=0.33, hough=0.00, zoom=18"
11,TEA-C010,Fenchuganj,3,149.3,0.008,0.967,,,,0.1,likely not tea (no regular pattern),"fft=0.20, hough=0.00, zoom=18"
12,TEA-C011,Jaintiapur,3,103.7,0.002,0.98,,,,0.138,likely not tea (no regular pattern),"fft=0.28, hough=0.00, zoom=18"
13,TEA-C012,Fenchuganj,3,100.1,0.014,0.96,,,,0.12,likely not tea (no regular pattern),"fft=0.24, hough=0.00, zoom=18"
14,TEA-C013,Kanaighat,1,1174.4,0.0,0.991,,,,0.15,likely not tea (no regular pattern),"fft=0.30, hough=0.00, zoom=18"
15,TEA-C014,Kanaighat,1,317.4,0.0,0.989,,,,0.145,likely not tea (no regular pattern),"fft=0.29, hough=0.00, zoom=18"
16,TEA-C015,Kanaighat,1,291.9,0.0,0.981,,,,0.172,likely not tea (no regular pattern),"fft=0.34, hough=0.00, zoom=18"
17,TEA-C016,Kanaighat,1,186.8,0.0,0.99,,,,0.252,likely not tea (no regular pattern),"fft=0.50, hough=0.00, zoom=18"
18,TEA-C017,Kanaighat,1,149.9,0.005,0.973,,,,0.185,likely not tea (no regular pattern),"fft=0.37, hough=0.00, zoom=18"
19,TEA-C018,Kanaighat,1,141.0,0.0,0.989,,,,0.189,likely not tea (no regular pattern),"fft=0.38, hough=0.00, zoom=18"
20,TEA-C019,Kanaighat,1,130.8,0.0,0.965,,,,0.16,likely not tea (no regular pattern),"fft=0.32, hough=0.00, zoom=18"
21,TEA-C020,Kanaighat,1,121.8,0.0,0.974,,,,0.157,likely not tea (no regular pattern),"fft=0.31, hough=0.00, zoom=18"
22,TEA-C021,Kanaighat,1,107.8,0.0,0.982,,,,0.183,likely not tea (no regular pattern),"fft=0.37, hough=0.00, zoom=18"
23,TEA-C022,Kanaighat,1,103.9,0.001,0.984,,,,0.299,likely not tea (no regular pattern),"fft=0.59, hough=0.01, zoom=18"
